"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_hum","CO2_hrs","AccH2O_des","AccCO2_soda","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","week"
1,1664377020.5,0,2022-09-28 09:57:00,09:57:00,5,"a_y_280_98","ozzie",1664377012.75,0.001616704689505,1.616704689505,11.2458692161455,405.748686159822,208.819499184366,19.0596827367113,37.0340952796551,0.0969934160223384,2.76961204390306,0.0951451213227178,0.0596288291752419,321.511160672103,25.4635845711816,25.4635845711816,3.26862760994412,59.1143316690555,1.76043666973458,2.97802008418225,1.50819094020954,-71.2966768071706,-232.641921619427,-17.7113689196013,-0.138806674096656,11.2096484595036,1.61601540750247,11.2458692161455,427.407629839767,413.680575757576,-0.00082464572677149,64.9839196762161,1.616704689505,17.3713458230303,19.2737151515152,-1.09508196721588e-05,129.79,0,0,1,0,48766,2000.00233333333,1681.19925962285,0.840598649113001,0.160755392788093,6,0.5,"0: Broadleaf",2,TRUE,1664377012.75,405.7487,419.9842,19.2874933333333,17.3860666666667,399.192233333333,19.00149,500.102333333333,91.17351,0.0999716966666667,23.9055266666667,24.9400733333333,999.9,0,0,9997.36333333333,0,9.771531,-14.2353266666667,413.728666666667,427.415266666667,1.90144333333333,419.9842,17.3860666666667,1.75850966666667,1.585148,15.4227833333333,13.8151866666667,2000.00233333333,0.979996,0.0200039333333333,0,763.1866,5.00063,14966.5833333333,17256.8933333333,37.437,37.5,37,36.625,38.187,1955.09233333333,39.91,0,1664377006,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,-14.2475975,0.126311819887447,0.0379954766222243,0,1.90682975,-0.0935850281425968,0.0113324073981436,1,1,2,"1/2",2.97515,2.75393,0.089133,0.0927975,0.0896714,0.0841772,35614.5,38717.3,35422.7,38694.8,45690.1,51160.2,55326.1,62037.4,2.01185,1.88575,0.151973,0,22.4048,999.9,61.214,26.355,23.1376,55.7055,49.0304,1,-0.194599,1.18235,20.1429,5.19932,12.004,4.97575,3.29303,9999,721,9999,9999,1.86279,1.86773,1.86752,1.86862,1.86951,1.86554,1.86665,1.86804,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.557,0.2854,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1210.1,1210,1.03027,2.59155,1.54785,2.30347,1.34644,2.4353,30.4369,16.1109,18,500.21,418.834,19.8339,24.7073,29.9996,24.7121,24.6611,20.64,32.3324,85.0061,19.9196,413.233,17.4193,102.664,103.28,7
2,1664377025.5,5,2022-09-28 09:57:05,09:57:05,5,"a_y_280_98","ozzie",1664377017.65517,0.0016226477373759,1.62264773737591,11.2745067779401,405.73429649627,209.069332886332,19.082292023914,37.0324055803465,0.0973827806474072,2.77114356015796,0.0955207787987162,0.0598648148653729,321.511999030725,25.4570840985956,25.4570840985956,3.267365463259,59.1000950560846,1.75958125589688,2.97729006057787,1.50778420736211,-71.5587652182776,-232.408712037527,-17.6828926733664,-0.138370898445459,11.1225444533904,1.6152890905479,11.2745067779401,427.387796135133,413.625163636364,-0.00070867940976419,64.9839196762161,1.62264773737591,17.3695599733333,19.2785484848485,2.95699855699451e-05,129.79,0,0,1,0,48816,2000.0075862069,1681.20367203665,0.840598647540694,0.160755389753539,6,0.5,"0: Broadleaf",2,TRUE,1664377017.65517,405.734310344828,419.865103448276,19.2783172413793,17.3777034482759,399.177931034483,18.9927206896552,500.096034482759,91.1725965517241,0.0999576793103448,23.9014482758621,24.9210310344828,999.9,0,0,10006.4972413793,0,9.7751651724138,-14.1306275862069,413.710172413793,427.290379310345,1.9006224137931,419.865103448276,17.3777034482759,1.75765517241379,1.58437,15.4152103448276,13.8076275862069,2000.0075862069,0.979996137931034,0.0200037862068966,0,763.024448275862,5.00063,14963.6620689655,17256.924137931,37.4284482758621,37.4913103448276,37,36.625,38.182724137931,1955.0975862069,39.91,0,1664377010.8,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,-14.1919317073171,0.678526829268297,0.182522723528886,0,1.9034187804878,-0.017948571428566,0.00762465743176796,1,1,2,"1/2",2.97526,2.75372,0.0891084,0.0924164,0.0896888,0.0841715,35616,38734.1,35423.2,38695.4,45689.7,51161.2,55326.7,62038.2,2.01192,1.88563,0.153866,0,22.4048,999.9,61.189,26.355,23.1242,56.0754,48.9824,1,-0.195196,1.0702,20.144,5.19872,12.004,4.97565,3.29298,9999,721,9999,9999,1.86279,1.86773,1.86752,1.86865,1.86951,1.86554,1.86665,1.86805,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.555,0.2856,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1210.2,1210.1,1.00342,2.58789,1.54785,2.30347,1.34644,2.3999,30.4369,16.1109,18,500.259,418.764,19.9027,24.7073,29.9996,24.7121,24.6611,20.1156,32.3324,85.0061,19.9873,399.762,17.4175,102.666,103.281,7
3,1664377030.5,10,2022-09-28 09:57:10,09:57:10,5,"a_y_280_98","ozzie",1664377022.73214,0.00163029939269108,1.63029939269108,11.1786158717468,405.286379056953,211.087226497882,19.2664416821961,36.991468011768,0.0978542958385864,2.77105216700575,0.0959743460385699,0.0601498640710964,321.513068272107,25.4566311034512,25.4566311034512,3.26727752455339,59.093172794122,1.75954381681233,2.97757546873054,1.50773370774106,-71.8962032176767,-232.0951536159,-17.6597191663681,-0.138007727838271,9.33110106303139,1.62113515847512,11.1786158717468,420.446506024832,410.562187878788,-0.784778390995332,64.9839196762161,1.63029939269108,17.3685417818182,19.2864042424242,4.29188464118142e-05,129.79,0,0,1,0,48573,2000.01428571429,1681.20929962285,0.840598645535387,0.160755385883297,6,0.5,"0: Broadleaf",2,TRUE,1664377022.73214,405.286392857143,417.269928571429,19.2779357142857,17.3704285714286,398.732678571429,18.99235,500.092392857143,91.1724678571428,0.0999506678571429,23.9030428571429,24.9255714285714,999.9,0,0,10005.9721428571,0,9.77172178571429,-11.9835221428571,413.253142857143,424.646214285714,1.90751357142857,417.269928571429,17.3704285714286,1.75761642857143,1.58370392857143,15.414875,13.8011535714286,2000.01428571429,0.979996071428571,0.0200038571428571,0,762.948178571429,5.00063,14961.2178571429,17256.9857142857,37.4237142857143,37.47075,37,36.625,38.1781428571429,1955.10428571429,39.91,0,1664377015.6,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,-13.12170075,16.7649153095685,2.27822817393297,0,1.903214,0.0704974108818021,0.00708168722833761,1,1,2,"1/2",2.97544,2.75409,0.0884926,0.0902088,0.0897157,0.0841724,35640.1,38828,35423.2,38695.2,45688.5,51160.9,55326.9,62037.9,2.0124,1.88515,0.153877,0,22.4048,999.9,61.189,26.355,23.1279,56.1154,49.0465,1,-0.195091,0.993769,20.1443,5.19932,12.0041,4.97575,3.29295,9999,721,9999,9999,1.86279,1.8677,1.86752,1.86862,1.86951,1.86555,1.86665,1.86805,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.533,0.286,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1210.3,1210.2,0.9729,2.59277,1.54785,2.30347,1.34644,2.34863,30.4154,16.1021,18,500.565,418.495,19.9789,24.7073,29.9999,24.7117,24.6611,19.5134,32.3324,85.0061,20.0237,386.371,17.4175,102.666,103.281,7
4,1664377035.5,15,2022-09-28 09:57:15,09:57:15,5,"a_y_280_98","ozzie",1664377028,0.00163612914039569,1.63612914039569,10.916862491564,402.54139400937,213.349195040782,19.4730001233252,36.741121116907,0.098212435161543,2.76892541095348,0.0963174185484698,0.060365600822053,321.5102562721,25.4593753457178,25.4593753457178,3.26781028846311,59.0994576540726,1.76007553748651,2.97815852691707,1.50773475097661,-72.1532950914501,-231.840457872192,-17.6544227898241,-0.137919481365827,5.03405997267049,1.62723093221779,10.916862491564,404.786526751886,401.198048484848,-2.03058679663634,64.9839196762161,1.63612914039569,17.3691281721212,19.2938496969697,3.77443609022653e-05,129.79,0,0,1,0,48921,1999.99666666667,1681.19449962285,0.840598650809176,0.16075539606171,6,0.5,"0: Broadleaf",2,TRUE,1664377028,402.541407407407,409.366925925926,19.2836592592593,17.3690259259259,396.005037037037,18.9978222222222,500.101592592593,91.1728777777778,0.100024,23.9063,24.9328333333333,999.9,0,0,9993.38407407407,0,9.76776777777778,-6.82557222222222,410.456555555555,416.602962962963,1.9146362962963,409.366925925926,17.3690259259259,1.75814555555556,1.5835837037037,15.419562962963,13.7999777777778,1999.99666666667,0.979996,0.0200039333333333,0,762.965259259259,5.00063,14960.0740740741,17256.8444444444,37.414037037037,37.4486666666667,37,36.6203333333333,38.1732222222222,1955.08666666667,39.91,0,1664377020.4,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,-9.76730275,53.2379840375235,5.70279633162563,0,1.90963925,0.080301050656649,0.00776678420824863,1,1,2,"1/2",2.97522,2.75377,0.0868301,0.0873981,0.0897415,0.0841614,35705.1,38947.8,35423.2,38695,45687.2,51161.2,55326.9,62037.8,2.01205,1.88533,0.156943,0,22.4048,999.9,61.165,26.375,23.1432,56.2754,49.2268,1,-0.195124,1.05749,20.1439,5.19917,12.004,4.9757,3.293,9999,721,9999,9999,1.86279,1.8677,1.86752,1.86862,1.86951,1.86555,1.86665,1.86804,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.471,0.2863,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1210.4,1210.2,0.939941,2.60132,1.54785,2.30347,1.34644,2.2644,30.4154,16.1021,18,500.321,418.594,20.0333,24.7073,29.9999,24.7101,24.6611,18.8451,32.3324,84.633,20.0624,366.248,17.4175,102.666,103.281,7
5,1664377040.5,20,2022-09-28 09:57:20,09:57:20,5,"a_y_280_98","ozzie",1664377032.71429,0.00165420371998117,1.65420371998118,10.6125092648249,396.302094117795,214.180366215024,19.5489502577219,36.1718025879272,0.0993337331098467,2.7709430815987,0.097397040126658,0.0610440092529378,321.511529272103,25.4609765438451,25.4609765438451,3.26812117821138,59.0909622018451,1.76062818500465,2.97952194278142,1.50749299320673,-72.95038405117,-231.111118603824,-17.5868853531098,-0.136858735999965,-0.0257036803057699,1.63734284830563,10.6125092648249,388.060816232355,388.075848484848,-2.70436872575481,64.9839196762161,1.65420371998118,17.3469536363636,19.2935060606061,-1.6726631393317e-05,129.79,0,0,1,0,48861,2000.00464285714,1681.20119962285,0.840598648421706,0.160755391453893,6,0.5,"0: Broadleaf",2,TRUE,1664377032.71429,396.302107142857,397.049785714286,19.2896285714286,17.3630678571429,389.805321428571,19.003525,500.090892857143,91.1733464285714,0.0999602857142857,23.9139142857143,24.9757071428571,999.9,0,0,10005.2321428571,0,9.77339678571428,-0.747787857142858,404.096928571429,404.065857142857,1.92656178571429,397.049785714286,17.3630678571429,1.75869928571429,1.58304928571429,15.4244678571429,13.794775,2000.00464285714,0.979995964285714,0.0200039714285714,0,762.926071428571,5.00063,14959.4678571429,17256.9107142857,37.4082142857143,37.437,37,36.6115,38.1626428571428,1955.09464285714,39.91,0,1664377025.8,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,-4.991006,78.1647018236398,7.65114826308521,0,1.9190935,0.12828855534709,0.0130578850795219,0,0,2,"0/2",2.97537,2.75416,0.0845428,0.0846053,0.0897316,0.0840797,35794.4,39066.9,35423.2,38695,45687.6,51165.6,55326.8,62037.6,2.01222,1.8851,0.15885,0,22.4067,999.9,61.14,26.375,23.1334,55.8654,49.0665,1,-0.195526,1.16764,20.1428,5.19962,12.004,4.97565,3.2929,9999,721,9999,9999,1.86279,1.86774,1.86751,1.86861,1.86951,1.86556,1.86663,1.86803,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.388,0.2862,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1210.4,1210.3,0.906982,2.59888,1.54785,2.30347,1.34644,2.2876,30.4154,16.0934,18,500.435,418.467,20.0731,24.7067,29.9999,24.7101,24.6611,18.2004,32.3324,84.633,19.9448,352.818,17.4175,102.666,103.28,7
6,1664377045.5,25,2022-09-28 09:57:25,09:57:25,5,"a_y_280_98","ozzie",1664377038,0.00165428149528345,1.65428149528345,10.0444312486003,385.20120989251,212.507599744413,19.3962723129583,35.1585899579224,0.0993041329822332,2.7709282563292,0.097368571786696,0.061026117591946,321.506414049869,25.4645387312107,25.4645387312107,3.26881290769176,59.0844260073332,1.76081565007421,2.98016883477157,1.50799725761755,-72.9538139420003,-231.102494522029,-17.5869588807512,-0.136853294910821,-4.74774482477773,1.64761101667571,10.0444312486003,371.435606152181,373.427660606061,-2.97193846801792,64.9839196762161,1.65428149528345,17.3387707515152,19.2855278787879,-3.24850498339268e-05,129.79,0,0,1,0,48854,1999.97259259259,1681.17427740062,0.840598658015255,0.160755409969442,6,0.5,"0: Broadleaf",2,TRUE,1664377038,385.201222222222,380.266555555556,19.2916814814815,17.3530962962963,378.775148148148,19.0054888888889,500.104666666667,91.1733148148148,0.0999965222222222,23.9175259259259,24.9847407407407,999.9,0,0,10005.1481481481,0,9.77961518518518,4.93456185185185,392.778555555555,386.982259259259,1.93857333333333,380.266555555556,17.3530962962963,1.75888555555556,1.58214111111111,15.4261148148148,13.785937037037,1999.97259259259,0.979995888888889,0.0200040518518519,0,762.802444444444,5.00063,14956.8074074074,17256.637037037,37.3933703703704,37.437,37,36.5946666666667,38.1571481481481,1955.06259259259,39.91,0,1664377030.6,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,1.52454175,63.6354785966229,6.38037689390973,0,1.93209175,0.148289718574109,0.014990567348753,0,0,2,"0/2",2.97534,2.75391,0.081979,0.0816972,0.0897029,0.0840684,35894.4,39190.9,35423,38695.1,45688.9,51166.5,55326.8,62038.1,2.01187,1.8852,0.154447,0,22.408,999.9,61.14,26.355,23.1088,55.5154,49.1106,1,-0.193577,1.6303,20.1388,5.19902,12.0043,4.97555,3.29295,9999,721,9999,9999,1.86279,1.86771,1.86752,1.86862,1.86951,1.86554,1.86662,1.86803,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.296,0.2858,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1210.5,1210.4,0.872803,2.60376,1.54785,2.30347,1.34644,2.27905,30.4369,16.1021,18,500.207,418.523,19.9994,24.7063,30.0012,24.7101,24.6611,17.5024,32.0514,84.633,19.9786,332.514,17.4175,102.666,103.281,7
7,1664377050.5,30,2022-09-28 09:57:30,09:57:30,5,"a_y_280_98","ozzie",1664377042.71429,0.00163041298905904,1.63041298905905,9.67699312459957,372.543452321557,203.529985307435,18.5767432131926,34.0030685851035,0.0976631090254203,2.77123006441878,0.0957905400770375,0.060034339934775,321.511301272103,25.4757535279411,25.4757535279411,3.27099150762397,59.0498197321626,1.76029163760141,2.9810279617884,1.51069987002256,-71.9012128175039,-232.086725026714,-17.6613612552597,-0.13799782737442,-7.00022805510044,1.64870469024012,9.67699312459957,355.046346392014,358.067018181818,-3.09289466995559,64.9839196762161,1.63041298905905,17.3479115030303,19.2670581818182,-7.45536368393859e-05,129.79,0,0,1,0,48496,2000.00321428571,1681.19999962285,0.840598648849311,0.160755392279171,6,0.5,"0: Broadleaf",2,TRUE,1664377042.71429,372.543464285714,364.881714285714,19.2860571428571,17.3461392857143,366.19825,19.0001071428571,500.095714285714,91.1727214285714,0.100037153571429,23.9223214285714,24.9861642857143,999.9,0,0,10006.9939285714,0,9.7899925,7.66175285714286,379.869821428571,371.322892857143,1.9399075,364.881714285714,17.3461392857143,1.75836214285714,1.58149678571429,15.4214714285714,13.7796714285714,2000.00321428571,0.979996071428571,0.0200038571428571,0,762.57925,5.00063,14952.6571428571,17256.8892857143,37.3838571428571,37.437,36.99325,36.58225,38.1405,1955.09321428571,39.91,0,1664377035.4,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,5.19407875,39.7678284652908,4.02619570203359,0,1.93607575,0.0683406754221366,0.0125011633233671,1,1,2,"1/2",2.97542,2.75363,0.079241,0.0785846,0.0896489,0.084143,36001.2,39323.5,35422.8,38694.8,45691.2,51161.9,55326.2,62037.6,2.0122,1.88493,0.154626,0,22.4089,999.9,61.116,26.355,23.0971,56.4254,49.0184,1,-0.194403,1.32658,20.1417,5.19992,12.004,4.9756,3.29293,9999,721,9999,9999,1.86279,1.86772,1.86752,1.86863,1.86951,1.86554,1.86662,1.86802,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.198,0.2851,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1210.6,1210.5,0.841064,2.59766,1.54785,2.30347,1.34644,2.41455,30.4369,16.1021,18,500.419,418.368,19.9673,24.7052,30,24.7101,24.6611,16.8702,32.0514,84.633,20.0127,319.083,17.4273,102.665,103.28,7
8,1664377055.5,35,2022-09-28 09:57:35,09:57:35,5,"a_y_280_98","ozzie",1664377048,0.00161327898761202,1.61327898761202,9.19036156583146,357.013581317653,194.582047592198,17.7601086137291,32.5857398420765,0.0964802906107928,2.77146906793916,0.0946525020537278,0.0593191492053919,321.508542049874,25.4816761566278,25.4816761566278,3.27214255638563,59.0131125501198,1.75934159077716,2.98127232194871,1.51280096560847,-71.1456033536902,-232.787907122887,-17.7138432487435,-0.138811675446902,-8.54326872814237,1.63601152514137,9.19036156583146,337.710649632969,341.949933333333,-3.22310131776893,64.9839196762161,1.61327898761202,17.3680489090909,19.2662424242424,5.69642857140504e-06,129.79,0,0,1,0,48866,1999.98592592593,1681.18547740063,0.840598654024174,0.160755402266657,6,0.5,"0: Broadleaf",2,TRUE,1664377048,357.013592592593,347.464518518519,19.2755740740741,17.3505962962963,350.767703703704,18.9900962962963,500.102333333333,91.1731407407407,0.0999691555555556,23.9236851851852,24.9666296296296,999.9,0,0,10008.3581481482,0,9.78916518518518,9.54918925925926,364.030703703704,353.599444444444,1.92496962962963,347.464518518519,17.3505962962963,1.75741481481481,1.58191037037037,15.4130740740741,13.7837037037037,1999.98592592593,0.979995888888889,0.0200040518518519,0,762.34037037037,5.00063,14947.0185185185,17256.7444444444,37.375,37.437,36.9883333333333,36.569,38.1364814814815,1955.07592592593,39.91,0,1664377040.8,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,8.09620325,23.3166933208255,2.28855992047552,0,1.93159875,-0.140549155722332,0.0191528623431982,0,0,2,"0/2",2.97525,2.75401,0.0763412,0.0755967,0.089651,0.0841743,36114.3,39450.9,35422.6,38694.8,45690.9,51159.8,55326.1,62037.3,2.0119,1.88525,0.159841,0,22.4104,999.9,61.116,26.355,23.0972,56.3454,49.2268,1,-0.194568,1.19683,20.1427,5.20037,12.004,4.97565,3.293,9999,721,9999,9999,1.86279,1.86777,1.86752,1.86865,1.86951,1.86555,1.86664,1.86805,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.096,0.2851,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1210.7,1210.6,0.808105,2.61353,1.54785,2.30347,1.34644,2.23755,30.4154,16.0934,18,500.223,418.552,19.9959,24.7052,29.9999,24.7101,24.6611,16.2057,32.0514,84.255,20.0304,299.004,17.4256,102.664,103.28,7
9,1664377060.5,40,2022-09-28 09:57:40,09:57:40,5,"a_y_280_98","ozzie",1664377052.71429,0.0016200971283982,1.62009712839821,8.71909375645287,342.549882138527,188.867003609695,17.2384521062324,31.2655446657249,0.0968384956582964,2.77026423680188,0.0949964649588515,0.0595353713395461,321.512213272105,25.4838075494251,25.4838075494251,3.27255687407281,58.9852336435958,1.75886498588675,2.98187338972711,1.51369188818606,-71.4462833623609,-232.504096049856,-17.7004304882193,-0.138596628331754,-9.31817019711141,1.62425725311073,8.71909375645287,321.66758381482,326.157145454546,-3.15538620213803,64.9839196762161,1.62009712839821,17.3675052969697,19.2735109090909,2.57765205091512e-05,129.79,0,0,1,0,48801,2000.00892857143,1681.20479962285,0.840598647138894,0.160755388978066,6,0.5,"0: Broadleaf",2,TRUE,1664377052.71429,342.549892857143,332.037928571429,19.2703821428571,17.3592285714286,336.396857142857,18.9851285714286,500.103357142857,91.1729571428571,0.100011542857143,23.9270392857143,24.9891285714286,999.9,0,0,10001.2703571429,0,9.79398214285714,10.5121003571429,349.28075,337.903392857143,1.91114857142857,332.037928571429,17.3592285714286,1.75693821428571,1.58269285714286,15.4088464285714,13.7913214285714,2000.00892857143,0.979995857142857,0.0200040857142857,0,762.230285714286,5.00063,14942.6285714286,17256.9464285714,37.375,37.4325714285714,36.9685,36.56425,38.1272142857143,1955.09892857143,39.91,0,1664377045.6,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,9.639939,14.5377350093808,1.46915069712368,0,1.92214475,-0.213896172607886,0.0222332604432526,0,0,2,"0/2",2.97542,2.75373,0.0734333,0.0724769,0.0896667,0.0841367,36228.1,39584.2,35422.7,38695,45690.1,51162.2,55326.2,62037.7,2.01225,1.88482,0.157606,0,22.4104,999.9,61.091,26.375,23.1163,55.5755,49.3069,1,-0.195066,1.21237,20.1429,5.19992,12.004,4.9757,3.293,9999,721,9999,9999,1.86279,1.86775,1.86752,1.86863,1.86951,1.86555,1.86665,1.86805,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.997,0.2854,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1210.8,1210.7,0.776367,2.61475,1.54785,2.30347,1.34644,2.2583,30.4369,16.0934,18,500.451,418.305,20.0245,24.7052,29.9999,24.7101,24.6603,15.562,32.0514,84.255,20.0004,285.623,17.4268,102.665,103.28,7
