id	well	abs_649	abs_665	blank_649	blank_665	abs_649_corrected	abs_665_corrected
blank	A1		0.103	0.053	0.071	-0.053	0.032
blank	B1	0.051	0.054	0.053	0.071	-0.002	-0.017
blank	C1	0.055	0.055	0.053	0.071	0.002	-0.016
104	A2	0.167	0.357	0.053	0.071	0.114	0.286
104	B2	0.179	0.368	0.053	0.071	0.126	0.297
104	C2	0.165	0.356	0.053	0.071	0.112	0.285
105	A3	0.178	0.409	0.053	0.071	0.125	0.338
105	B3	0.18	0.404	0.053	0.071	0.127	0.333
105	C3	0.175	0.412	0.053	0.071	0.122	0.341
106	A4	0.188	0.404	0.053	0.071	0.135	0.333
106	B4	0.192	0.429	0.053	0.071	0.139	0.358
106	C4	0.187	0.419	0.053	0.071	0.134	0.348
107	A5	0.195	0.42	0.053	0.071	0.142	0.349
107	B5	0.188	0.412	0.053	0.071	0.135	0.341
107	C5	0.18	0.406	0.053	0.071	0.127	0.335
108	A6	0.21	0.479	0.053	0.071	0.157	0.408
108	B6	0.201	0.466	0.053	0.071	0.148	0.395
108	C6	0.193	0.455	0.053	0.071	0.140	0.384
109	A7	0.125	0.253	0.053	0.071	0.072	0.182
109	B7	0.126	0.268	0.053	0.071	0.073	0.197
109	C7	0.13	0.253	0.053	0.071	0.077	0.182
110	A8	0.06	0.063	0.053	0.071	0.007	-0.008
110	B8	0.06	0.058	0.053	0.071	0.007	-0.013
110	C8	0.077	0.082	0.053	0.071	0.024	0.011
111	A9	0.053	0.064	0.053	0.071	0.000	-0.007
111	B9	0.052	0.062	0.053	0.071	-0.001	-0.009
111	C9	0.058	0.064	0.053	0.071	0.005	-0.007
112	A10	0.127	0.273	0.053	0.071	0.074	0.202
112	B10	0.151	0.301	0.053	0.071	0.098	0.230
112	C10	0.128	0.275	0.053	0.071	0.075	0.204
113	A11	0.058	0.08	0.053	0.071	0.005	0.009
113	B11	0.058	0.078	0.053	0.071	0.005	0.007
113	C11	0.052	0.071	0.053	0.071	-0.001	0.000
114	A12	0.057	0.067	0.053	0.071	0.004	-0.004
114	B12	0.06	0.078	0.053	0.071	0.007	0.007
114	C12	0.053	0.068	0.053	0.071	0.000	-0.003
115	D1	0.065	0.077	0.053	0.071	0.012	0.006
115	E1	0.055	0.081	0.053	0.071	0.002	0.010
115	F1	0.055	0.066	0.053	0.071	0.002	-0.005
116	D2	0.081	0.105	0.053	0.071	0.028	0.034
116	E2	0.079	0.098	0.053	0.071	0.026	0.027
