id	well	abs_649	abs_665	blank_649	blank_665	abs_649_corrected	abs_665_corrected
blank	A1	0.249	0.237	0.242	0.229	0.007	0.008
blank	B1	0.236	0.224	0.242	0.229	-0.006	-0.005
blank	C1	0.241	0.227	0.242	0.229	-0.001	-0.002
52	A2	0.285	0.326	0.242	0.229	0.043	0.097
52	B2	0.267	0.313	0.242	0.229	0.025	0.084
52	C2	0.251	0.294	0.242	0.229	0.009	0.065
56	A3	0.254	0.304	0.242	0.229	0.012	0.075
56	B3	0.254	0.308	0.242	0.229	0.012	0.079
56	C3	0.266	0.32	0.242	0.229	0.024	0.091
57	A4	0.307	0.364	0.242	0.229	0.065	0.135
57	B4	0.254	0.311	0.242	0.229	0.012	0.082
57	C4	0.252	0.308	0.242	0.229	0.010	0.079
59	A5	0.31	0.404	0.242	0.229	0.068	0.175
59	B5	0.296	0.379	0.242	0.229	0.054	0.150
59	C5	0.255	0.351	0.242	0.229	0.013	0.122
60	A6	0.259	0.305	0.242	0.229	0.017	0.076
60	B6	0.242	0.286	0.242	0.229	0.000	0.057
60	C6	0.249	0.295	0.242	0.229	0.007	0.066
61	A7	0.277	0.365	0.242	0.229	0.035	0.136
61	B7	0.281	0.371	0.242	0.229	0.039	0.142
61	C7	0.276	0.37	0.242	0.229	0.034	0.141
65	A8	0.324	0.453	0.242	0.229	0.082	0.224
65	B8	0.293	0.417	0.242	0.229	0.051	0.188
65	C8	0.281	0.411	0.242	0.229	0.039	0.182
66	A9	0.313	0.416	0.242	0.229	0.071	0.187
66	B9	0.285	0.391	0.242	0.229	0.043	0.162
66	C9	0.295	0.403	0.242	0.229	0.053	0.174
12_real	A10	0.334	0.476	0.242	0.229	0.092	0.247
12_real	B10	0.306	0.447	0.242	0.229	0.064	0.218
12_real	C10	0.31	0.454	0.242	0.229	0.068	0.225
69	A11	0.392	0.67	0.242	0.229	0.150	0.441
69	B11	0.382	0.651	0.242	0.229	0.140	0.422
69	C11	0.393	0.665	0.242	0.229	0.151	0.436
70	A12	0.395	0.626	0.242	0.229	0.153	0.397
70	B12	0.358	0.593	0.242	0.229	0.116	0.364
70	C12	0.383	0.625	0.242	0.229	0.141	0.396
71	D1	0.384	0.571	0.242	0.229	0.142	0.342
71	E1	0.35	0.54	0.242	0.229	0.108	0.311
71	F1	0.361	0.548	0.242	0.229	0.119	0.319
