id	well	a_649	a_665	blank_649	blank_665	abs_649_corrected	abs_665_corrected
blank	A1	0.053	0.048	0.047	0.045	0.006	0.003
blank	B1	0.044	0.044	0.047	0.045	-0.003	-0.001
blank	C1	0.044	0.043	0.047	0.045	-0.003	-0.002
135	A2	0.141	0.304	0.047	0.045	0.094	0.259
135	B2	0.14	0.301	0.047	0.045	0.093	0.256
135	C2	0.139	0.299	0.047	0.045	0.092	0.254
136	A3	0.156	0.349	0.047	0.045	0.109	0.304
136	B3	0.154	0.344	0.047	0.045	0.107	0.299
136	C3	0.159	0.36	0.047	0.045	0.112	0.315
137	A4	0.169	0.383	0.047	0.045	0.122	0.338
137	B4	0.18	0.41	0.047	0.045	0.133	0.365
137	C4	0.196	0.428	0.047	0.045	0.149	0.383
138	A5	0.155	0.35	0.047	0.045	0.108	0.305
138	B5	0.164	0.367	0.047	0.045	0.117	0.322
138	C5	0.166	0.379	0.047	0.045	0.119	0.334
139	A6	0.175	0.391	0.047	0.045	0.128	0.346
139	B6	0.165	0.385	0.047	0.045	0.118	0.340
139	C6	0.175	0.4	0.047	0.045	0.128	0.355
140	A7	0.172	0.383	0.047	0.045	0.125	0.338
140	B7	0.166	0.373	0.047	0.045	0.119	0.328
140	C7	0.17	0.385	0.047	0.045	0.123	0.340
141	A8	0.172	0.391	0.047	0.045	0.125	0.346
141	B8	0.175	0.399	0.047	0.045	0.128	0.354
141	C8	0.169	0.387	0.047	0.045	0.122	0.342
142	A9	0.174	0.396	0.047	0.045	0.127	0.351
142	B9	0.179	0.407	0.047	0.045	0.132	0.362
142	C9	0.176	0.407	0.047	0.045	0.129	0.362
143	A10	0.182	0.43	0.047	0.045	0.135	0.385
143	B10	0.19	0.453	0.047	0.045	0.143	0.408
143	C10	0.193	0.461	0.047	0.045	0.146	0.416
144	A11	0.228	0.55	0.047	0.045	0.181	0.505
144	B11	0.235	0.561	0.047	0.045	0.188	0.516
144	C11	0.236	0.568	0.047	0.045	0.189	0.523
