id	well	abs_649	abs_665	blank_649	blank_665	abs_649_corrected	abs_665_corrected
blank	A1	0.043	0.043	0.043	0.042	0.000	0.001
blank	B1	0.041	0.041	0.043	0.042	-0.002	-0.001
blank	C1	0.044	0.043	0.043	0.042	0.001	0.001
73	A2	0.111	0.221	0.043	0.042	0.068	0.179
73	B2	0.118	0.251	0.043	0.042	0.075	0.209
73	C2	0.114	0.238	0.043	0.042	0.071	0.196
74	A3	0.154	0.332	0.043	0.042	0.111	0.290
74	B3	0.155	0.338	0.043	0.042	0.112	0.296
74	C3	0.16	0.353	0.043	0.042	0.117	0.311
75	A4	0.16	0.335	0.043	0.042	0.117	0.293
75	B4	0.147	0.332	0.043	0.042	0.104	0.290
75	C4	0.145	0.323	0.043	0.042	0.102	0.281
76	A5	0.095	0.186	0.043	0.042	0.052	0.144
76	B5	0.097	0.189	0.043	0.042	0.054	0.147
76	C5	0.099	0.193	0.043	0.042	0.056	0.151
77	A6	0.179	0.408	0.043	0.042	0.136	0.366
77	B6	0.174	0.401	0.043	0.042	0.131	0.359
77	C6	0.184	0.422	0.043	0.042	0.141	0.380
78	A7	0.162	0.347	0.043	0.042	0.119	0.305
78	B7	0.147	0.33	0.043	0.042	0.104	0.288
78	C7	0.151	0.342	0.043	0.042	0.108	0.300
79	A8	0.092	0.177	0.043	0.042	0.049	0.135
79	B8	0.089	0.173	0.043	0.042	0.046	0.131
79	C8	0.092	0.18	0.043	0.042	0.049	0.138
80	A9	0.139	0.303	0.043	0.042	0.096	0.261
80	B9	0.142	0.313	0.043	0.042	0.099	0.271
80	C9	0.14	0.307	0.043	0.042	0.097	0.265
81	A10	0.181	0.42	0.043	0.042	0.138	0.378
81	B10	0.191	0.437	0.043	0.042	0.148	0.395
81	C10	0.186	0.433	0.043	0.042	0.143	0.391
82	A11	0.137	0.296	0.043	0.042	0.094	0.254
82	B11	0.137	0.297	0.043	0.042	0.094	0.255
82	C11	0.141	0.308	0.043	0.042	0.098	0.266
83	A12	0.167	0.388	0.043	0.042	0.124	0.346
83	B12	0.166	0.391	0.043	0.042	0.123	0.349
83	C12	0.162	0.375	0.043	0.042	0.119	0.333
84	D1	0.15	0.327	0.043	0.042	0.107	0.285
84	E1	0.147	0.326	0.043	0.042	0.104	0.284
84	F1	0.146	0.326	0.043	0.042	0.103	0.284
85	D2	0.161	0.36	0.043	0.042	0.118	0.318
85	E2	0.169	0.363	0.043	0.042	0.126	0.321
85	F2	0.16	0.36	0.043	0.042	0.117	0.318
86	D3	0.143	0.302	0.043	0.042	0.100	0.260
86	E3	0.134	0.284	0.043	0.042	0.091	0.242
86	F3	0.141	0.301	0.043	0.042	0.098	0.259
87	D4	0.16	0.368	0.043	0.042	0.117	0.326
87	E4	0.162	0.38	0.043	0.042	0.119	0.338
87	F4	0.161	0.372	0.043	0.042	0.118	0.330
88	D5	0.145	0.306	0.043	0.042	0.102	0.264
88	E5	0.136	0.298	0.043	0.042	0.093	0.256
88	F5	0.135	0.299	0.043	0.042	0.092	0.257
89	D6	0.169	0.381	0.043	0.042	0.126	0.339
89	E6	0.18	0.407	0.043	0.042	0.137	0.365
89	F6	0.173	0.39	0.043	0.042	0.130	0.348
90	D7	0.161	0.366	0.043	0.042	0.118	0.324
90	E7	0.154	0.346	0.043	0.042	0.111	0.304
90	F7	0.156	0.351	0.043	0.042	0.113	0.309
91	D8	0.147	0.328	0.043	0.042	0.104	0.286
91	E8	0.143	0.32	0.043	0.042	0.100	0.278
91	F8	0.167	0.359	0.043	0.042	0.124	0.317
92	D9	0.136	0.299	0.043	0.042	0.093	0.257
92	E9	0.139	0.308	0.043	0.042	0.096	0.266
92	F9	0.136	0.3	0.043	0.042	0.093	0.258
93	D10	0.166	0.381	0.043	0.042	0.123	0.339
93	E10	0.167	0.384	0.043	0.042	0.124	0.342
93	F10	0.163	0.374	0.043	0.042	0.120	0.332
94	D11	0.139	0.308	0.043	0.042	0.096	0.266
