"id","co2","inoc","n.trt","rep","focal.area","tla","focal.biomass","leaf.biomass","chlor.biomass","stem.biomass","root.biomass","nodule.biomass","total.biomass","bvr","nmass.focal","nmass.nod","nmass.tl","nmass.tr","nmass.ts","nmass.chl","cmass.focal","cmass.nod","cmass.tl","cmass.tr","cmass.ts","cmass.chl","chlA.ugml","chlB.ugml","chlA.gml","chlB.gml","chlA.g","chlB.g","chlA.gm2","chlB.gm2","chlA.mmolm2","chlB.mmolm2","chl.marea","chlA.mmolg","chlB.mmolg","chl.mmolg","chl.mmolm2","chlA.chlB","disk.area","chl.leaf.area","tleaf","anet","gsw","ci.ca","vcmax25","jmax25","jmax25.vcmax25","rd25","tpu","marea","marea.chl","narea","narea.chl","p.rubisco","p.bioe","p.lightharv","p.photo","p.structure","pnue","iwue","narea.gs","vcmax.gs","leaf.totaln","stem.totaln","root.totaln","root.totalc","nod.totaln","nod.totalc","wpn","cbg","ncost"
"e_y_70_11","e","y","70","011",27.185,NA,0.169,2.415,0.135,1.023,1.511,0.352,5.436,0.906,0.02488,0.05908,0.02291,0.01298,0.01475,0.02007,0.42509,0.46353,0.43187,0.42408,0.41997,0.42906,1.67105,0.384495,1.67105e-06,3.84495e-07,1.67105e-05,3.84495e-06,0.053456493921945,0.0122999040307102,0.0598275273046132,0.0135540613251239,NA,NA,NA,NA,0.0733815886297371,4.34609032627212,3.126,NA,25.018,23.507,0.369,0.699,108.414,204.846,1.889,2.061,12.138,62.1666360125069,NA,1.54670590399117,NA,0.547071066708308,0.105331945197312,NA,NA,0.0714274836220019,15.1981058191746,63.7046070460705,4.19161491596523,293.80487804878,0.06289117,0.01508925,0.01961278,0.64078488,0.02079616,0.16316256,0.11838936,0.80394744,6.79070686757661
"e_y_70_12","e","y","70","012",26.006,NA,0.172,2.605,0.163,1.066,1.823,0.382,6.039,1.007,0.02386,0.06529,0.02216,0.01399,0.01463,0.02118,0.42426,0.45375,0.45605,0.4187,0.42278,0.43438,2.53788666666667,0.41832,2.53788666666667e-06,4.1832e-07,2.53788666666667e-05,4.1832e-06,0.0813686010473442,0.0134119910227637,0.0910662455342909,0.0147795420485126,NA,NA,NA,NA,0.105845787582803,6.06685472046918,3.119,NA,25.002,17.787,0.285,0.712,86.626,164.628,1.9,3.441,10.383,66.1385834038299,NA,1.57806660001538,NA,0.428439056911203,0.0829695498727001,NA,NA,0.0763018943461088,11.2713874052126,62.4105263157895,5.53707578952765,303.950877192982,0.0657199,0.01559558,0.02550377,0.7632901,0.02494078,0.1733325,0.13176003,0.9366226,7.10854877613492
"e_y_105_13","e","y","105","013",29.793,617.345,0.192,3.495,0.164,1.419,2.126,0.494,7.698,1.283,0.02568,0.05902,0.02212,0.01417,0.01581,0.02388,0.42948,0.44772,0.41302,0.42798,0.40933,0.42758,2.69952,0.586203333333333,2.69952e-06,5.86203333333333e-07,2.69952e-05,5.86203333333333e-06,0.0873065976714101,0.0189587106511427,0.097711942419682,0.0208918318524499,61.4923134608174,0.00158901067337373,0.000339747046039536,0.00192875771941327,0.118603774272132,4.60509152114454,3.092,26.67,25.011,23.015,0.328,0.673,106.766,197.329,1.848,1.538,11.508,64.4446682106535,61.4923134608174,1.65493907964958,1.46843644544432,0.503520413532406,0.0948307670414016,0.0273117773918616,0.62566295796567,0.0701804680942489,13.9068563205802,70.1676829268293,5.04554597454141,325.506097560976,0.08645148,0.02243439,0.03012542,0.90988548,0.02915588,0.22117368,0.16816717,1.13105916,6.72580242624051
"e_y_105_14","e","y","105","014",27.393,539.117,0.171,3.155,0.137,1.525,2.39,0.399,7.606,1.268,0.0219,0.05868,0.02246,0.01596,0.01373,0.02038,0.42315,0.45005,0.43258,0.41635,0.40896,0.42235,2.29387,0.73599,2.29387e-06,7.3599e-07,2.29387e-05,7.3599e-06,0.0747188925081433,0.0239736156351791,0.0836240137302809,0.0264180806364719,62.1766361078334,0.00134494271425767,0.000424887583024833,0.0017698302972825,0.110042094366753,3.11671354230357,3.07,22.034,28.851,19.441,0.305,0.705,95.228,172.043,1.807,3.506,12.724,62.424707041945,62.1766361078334,1.3671010842186,1.26715984387764,0.543663475516947,0.10008678501241,0.0293869704820673,0.673137231011425,0.0812780504956438,14.2206016983097,63.7409836065574,4.48229863678228,312.222950819672,0.0776065,0.02093825,0.0381444,0.9950765,0.02341332,0.17956995,0.16010247,1.17464645,7.33684152405644
"e_y_105_15","e","y","105","015",25.635,558.797,0.165,2.966,0.143,1.48,2.442,0.345,7.376,1.229,0.02153,0.05626,0.02499,0.01342,0.01469,0.02251,0.41796,0.45627,0.43418,0.43143,0.40731,0.42913,2.14579333333333,0.507693333333333,2.14579333333333e-06,5.07693333333333e-07,2.14579333333333e-05,5.07693333333333e-06,0.0695331605098293,0.016451501404191,0.077820237613266,0.0181289755079407,63.4540291089812,0.00122640340898781,0.000285702511920946,0.00151210592090875,0.0959492131212068,4.22655408776952,3.086,22.536,25.003,18.912,0.295,0.704,88.631,169.443,1.912,2.34,10.376,64.3651258045641,63.4540291089812,1.38578115857226,1.42835019524317,0.499179933326674,0.0972454610342594,0.0255390942179412,0.621964488578874,0.0836677453613865,13.6471764556855,64.1084745762712,4.69756324939751,300.44406779661,0.08075158,0.0217412,0.03277164,1.05355206,0.0194097,0.15741315,0.15467412,1.21096521,7.82913916044908
"e_y_105_16","e","y","105","016",30.357,468.351,0.191,2.469,0.178,0.985,1.553,0.43,5.615,0.936,0.02203,0.05905,0.02581,0.01522,0.0141,0.02392,0.42194,0.44702,0.43863,0.42288,0.39893,0.43391,2.34133666666667,0.44279,2.34133666666667e-06,4.4279e-07,2.34133666666667e-05,4.4279e-06,0.0777852713178294,0.0147106312292359,0.0870558486394438,0.0162105978481227,66.8820921319606,0.00130163166050009,0.000242375759061762,0.00154400741956185,0.103266446487566,5.28769092948501,3.01,26.614,25.002,21.07,0.382,0.736,97.007,181.266,1.869,2.909,11.091,62.9179431432619,66.8820921319606,1.38608228744606,1.5998196437965,0.546235827219972,0.10400822800637,0.0254860301169785,0.67573008534332,0.0810468084478318,15.2011177047957,55.1570680628272,3.62848766347136,253.94502617801,0.07185396,0.0138885,0.02363666,0.65673264,0.0253915,0.1922186,0.13477062,0.84895124,6.2992307967419
"e_y_140_17","e","y","140","017",20.808,524.333,0.111,2.96,0.104,1.594,2.158,0.335,7.151,1.192,0.0219,0.05858,0.02155,0.01543,0.00986,0.02438,0.42107,0.4387,0.4256,0.4296,0.35652,0.43219,1.68993,0,1.68993e-06,0,1.68993e-05,0,0.0541123919308357,0,0.0605615963233044,0,55.254489427266,0.0010960484288435,0,0.0010960484288435,0.0605615963233044,Inf,3.123,18.822,25.008,15.907,0.324,0.767,70.269,130.732,1.86,2.293,7.915,53.3448673587082,55.254489427266,1.16825259515571,1.34710445223674,0.469454104261294,0.0889990786452257,0.0181992267138812,0.576652409620401,0.0764452257762678,13.6160621991855,49.0956790123457,3.60571788628305,216.87962962963,0.0684965,0.01571684,0.03329794,0.9270768,0.0196243,0.1469645,0.13713558,1.0740413,7.83196672956792
"e_y_140_18","e","y","140","018",27.31,488.27,0.165,2.697,0.136,1.229,1.833,0.351,6.246,1.041,0.02488,0.05753,0.02136,0.01429,0.01391,0.02565,0.42042,0.4556,0.44,0.41788,0.42813,0.43661,1.54021666666667,0,1.54021666666667e-06,0,1.54021666666667e-05,0,0.0505154695528589,0,0.0565359867856642,0,55.7354206794803,0.00101436368643897,0,0.00101436368643897,0.0565359867856642,Inf,3.049,24.401,24.997,17.449,0.254,0.688,79.587,165.036,2.074,1.198,10.418,60.4174295129989,55.7354206794803,1.50318564628341,1.42961354042867,0.413233608772218,0.0873185326132674,0.0148255435024695,0.515377684887955,0.0706368383344307,11.6080139822664,68.6968503937008,5.91805372552525,313.334645669291,0.0650968,0.01709539,0.02619357,0.76597404,0.02019303,0.1599156,0.12857879,0.92588964,7.20095157218387
"e_y_140_19","e","y","140","019",31.772,598.526,0.268,3.685,0.152,1.389,1.902,0.518,7.646,1.274,0.01677,0.05884,0.02376,0.01616,0.01708,0.02215,0.41427,0.44204,0.44363,0.43037,0.41154,0.4326,1.56790333333333,0.228553333333333,1.56790333333333e-06,2.28553333333333e-07,1.56790333333333e-05,2.28553333333333e-06,0.0521417802904334,0.00760070945571444,0.0583561239274697,0.00837571429988258,59.6382469494252,0.000978501664828566,0.000140441993658623,0.00111894365848719,0.0667318382273523,6.86012017618062,3.007,25.487,25.003,22.915,0.37,0.706,108.413,200.046,1.845,3.009,12.162,84.3510008812791,59.6382469494252,1.41456628477905,1.32098716992977,0.598169384501203,0.112472650309535,0.0242628862901759,0.734904921100914,0.119363208479444,16.1993115816267,61.9324324324324,3.82315212102446,293.008108108108,0.094599,0.02372412,0.03073632,0.81856374,0.03047912,0.22897672,0.17953856,1.04754046,5.8346266116872
"e_y_140_20","e","y","140","020",27.568,707.295,0.19,4.124,0.18,1.893,2.678,0.548,9.423,1.571,0.02399,0.05777,0.02628,0.01563,0.01574,0.02244,0.42102,0.4528,0.43558,0.44089,0.41968,0.43505,2.00296666666667,0.270293333333333,2.00296666666667e-06,2.70293333333333e-07,2.00296666666667e-05,2.70293333333333e-06,0.0650313852813853,0.00877575757575757,0.0727819333654747,0.00967057597028835,68.3189736971951,0.00106532533243342,0.000141550369493993,0.00120687570192742,0.082452509335763,7.41034431728493,3.08,26.347,25.005,19.197,0.274,0.678,96.5,176.805,1.832,3.136,11.334,68.9204875217644,68.3189736971951,1.65340249564713,1.53307776976506,0.455527757875152,0.0850464741960932,0.0182936178245089,0.558867849895754,0.0771176803898661,11.6106030144139,70.0620437956204,6.03431567754426,352.189781021898,0.11725502,0.02979582,0.04185714,1.18070342,0.03165796,0.2481344,0.22056594,1.42883782,6.47805286709272
"e_y_210_21","e","y","210","021",20.368,558.312,0.105,3.418,0.117,1.514,2.361,0.296,7.706,1.284,0.02903,0.05984,0.02155,0.01081,0.01215,0.02577,0.42365,0.43827,0.447,0.4255,0.4158,0.43635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8525269262635,NA,NA,NA,NA,NA,3.058,21.726,25.006,17.225,0.317,0.746,73.236,142.798,1.95,1.55,9.364,51.5514532600157,53.8525269262635,1.49653868813826,1.38777961888981,0.381946723670455,0.0758882496638168,NA,NA,0.0569056349055026,11.5098928858488,54.3375394321767,4.72094223387462,231.028391167192,0.08010256,0.0183951,0.02552241,1.0046055,0.01771264,0.12972792,0.14173271,1.13433342,8.00332837776121
"e_y_210_22","e","y","210","022",24.863,602.916,0.148,3.702,0.141,2.369,4.414,0.257,10.883,1.814,0.01846,0.05543,0.01918,0.01183,0.01097,0.01654,0.42008,0.45478,0.44598,0.40678,0.41192,0.42511,1.75391666666667,0.385796666666667,1.75391666666667e-06,3.85796666666667e-07,1.75391666666667e-05,3.85796666666667e-06,0.0579807162534435,0.012753608815427,0.064890953938337,0.0140540280289453,66.8309792397384,0.000970971167511372,0.000210292115854389,0.00118126328336576,0.0789449819672823,4.54622037515444,3.025,21.098,25.008,15.085,0.274,0.746,68.667,134.047,1.952,2.545,8.514,59.5262035957045,66.8309792397384,1.0988537183767,1.10538439662527,0.487724209340011,0.0970191748343372,0.0232692462004484,0.608012630374797,0.0946526655227912,13.7279418977482,55.0547445255474,4.01041503057191,250.609489051095,0.0763393,0.02598793,0.05221762,1.79552692,0.01424551,0.11687846,0.16879036,1.91240538,11.3300628069044
"e_y_210_23","e","y","210","023",23.385,623.294,0.129,3.688,0.104,1.828,2.536,0.177,8.333,1.389,0.02553,0.05486,0.01911,0.01365,0.01011,0.02186,0.42206,0.45014,0.42644,0.4557,0.40903,0.42224,1.56706,0,1.56706e-06,0,1.56706e-05,0,0.0497637345188949,0,0.0556946587267013,0,50.880626223092,0.00109461425420555,0,0.00109461425420555,0.0556946587267013,Inf,3.149,20.44,25.006,19.428,0.371,0.75,84.625,164.609,1.945,1.941,9.909,55.1635663887107,50.880626223092,1.40832584990378,1.11225048923679,0.468987915632716,0.0929588592406262,0.0155911299249447,0.577537904798287,0.0664388259415791,13.7951028885306,52.366576819407,3.79602654960589,228.099730458221,0.07642617,0.01848108,0.0346164,1.1556552,0.00971022,0.07967478,0.13923387,1.23532998,8.87233817461225
"e_y_210_24","e","y","210","024",24.857,778.545,0.153,4.77,0.118,2.587,3.64,0.278,11.393,1.899,0.02061,0.05718,0.01995,0.0142,0.01009,0.01892,0.42271,0.42958,0.44145,0.45656,0.35347,0.42022,1.70864,1.48187,1.70864e-06,1.48187e-06,1.70864e-05,1.48187e-05,0.0565026455026455,0.0490036375661376,0.0632367242701766,0.0540002838288181,52.6221905101677,0.00120171212291054,0.00102618844455713,0.00222790056746768,0.117237008098995,1.15302961798268,3.024,22.424,24.991,15.039,0.274,0.746,69.622,130.373,1.873,2.773,8.191,61.5520778855051,52.6221905101677,1.26858832522026,0.995611844452372,0.428343229012334,0.0817348572956682,0.0393083775301959,0.549386463838198,0.0858924560793604,11.8549096669235,54.8868613138686,4.62988439861409,254.094890510949,0.10074681,0.02610283,0.051688,1.6618784,0.01589604,0.11942324,0.19443368,1.78130164,9.16148704277983
"e_y_280_25","e","y","280","025",31.947,748.133,0.261,4.852,0.193,2.592,3.295,0.239,11.171,1.862,0.02154,0.05851,0.01968,0.01484,0.01258,0.02128,0.42693,0.45234,0.43831,0.44361,0.41318,0.4375,3.35597333333333,2.31609666666667,3.35597333333333e-06,2.31609666666667e-06,3.35597333333333e-05,2.31609666666667e-05,0.109887797424143,0.0758381357782143,0.122984406916703,0.0835709563712457,76.4598684731796,0.00160848310849296,0.0010930041869031,0.00270148729539606,0.206555363287949,1.44897809389073,3.054,25.242,25.006,16.434,0.195,0.628,90.278,171.66,1.901,3.475,11.007,81.6978120011269,76.4598684731796,1.75977087050427,1.62706600110926,0.400398024707555,0.0775806374100481,0.045606268175843,0.523584930293446,0.0917792955747274,9.33871578138507,84.2769230769231,9.02446600258602,462.964102564103,0.10526652,0.03260736,0.0488978,1.46169495,0.01398389,0.10810926,0.20075557,1.56980421,7.81948022662584
"e_y_280_26","e","y","280","026",22.24,851.228,0.139,5.626,0.162,3.146,4.421,0.204,13.559,2.26,0.02196,0.05565,0.01948,0.01456,0.01112,0.01888,0.42232,0.44985,0.43861,0.45166,0.42223,0.43044,1.85654,0.98816,1.85654e-06,9.8816e-07,1.85654e-05,9.8816e-06,0.06033604159896,0.0321143971400715,0.067526990855122,0.0353889353257645,62.5458476506699,0.00107963987045587,0.000565807909797917,0.00164544778025379,0.102915926180886,1.87878481217617,3.077,25.901,25.003,14.629,0.245,0.728,72.988,137.935,1.89,3.683,9.284,62.5,62.5458476506699,1.3725,1.18086560364465,0.415054600382069,0.0799286515025033,0.0272470240148003,0.522230275899373,0.0810940936081927,10.6586520947177,59.7102040816327,5.60204081632653,297.910204081633,0.11620444,0.03498352,0.06436976,1.99678886,0.0113526,0.0917694,0.22691032,2.08855826,9.20433350056533
