id,sow_date,rack,germ_date,thin_date,harvest_date,notes
e_y_0_1,6/17/22,6b,6/23/22,7/2/22,8/6/22,
e_y_0_2,6/17/22,5t,6/21/22,7/2/22,8/6/22,
e_y_0_3,6/17/22,4t,6/22/22,7/2/22,8/6/22,
e_y_0_4,6/17/22,6t,6/22/22,7/2/22,8/6/22,
e_y_35_5,6/17/22,2b,6/22/22,7/2/22,8/6/22,
e_y_35_6,6/17/22,1t,6/23/22,7/2/22,8/6/22,
e_y_35_7,6/17/22,5t,6/22/22,7/2/22,8/6/22,
e_y_35_8,6/17/22,5t,6/22/22,7/2/22,8/6/22,
e_y_70_9,6/17/22,4t,6/23/22,7/2/22,8/6/22,
e_y_70_10,6/17/22,6b,6/22/22,7/2/22,8/6/22,
e_y_70_11,6/17/22,3t,6/22/22,7/2/22,8/6/22,
e_y_70_12,6/17/22,5b,6/22/22,7/2/22,8/6/22,
e_y_105_13,6/17/22,4b,6/21/22,7/2/22,8/6/22,
e_y_105_14,6/17/22,6t,6/23/22,7/2/22,8/6/22,
e_y_105_15,6/17/22,1t,6/22/22,7/2/22,8/6/22,
e_y_105_16,6/17/22,1b,6/23/22,7/2/22,8/6/22,
e_y_140_17,6/17/22,2t,6/23/22,7/2/22,8/6/22,
e_y_140_18,6/17/22,2b,6/22/22,7/2/22,8/6/22,
e_y_140_19,6/17/22,4t,6/23/22,7/2/22,8/6/22,
e_y_140_20,6/17/22,1t,6/23/22,7/2/22,8/6/22,
e_y_210_21,6/17/22,3t,6/23/22,7/2/22,8/6/22,
e_y_210_22,6/17/22,6t,6/22/22,7/2/22,8/6/22,
e_y_210_23,6/17/22,1t,6/23/22,7/2/22,8/6/22,
e_y_210_24,6/17/22,2t,6/22/22,7/2/22,8/6/22,
e_y_280_25,6/17/22,1b,6/22/22,7/2/22,8/6/22,
e_y_280_26,6/17/22,1b,6/23/22,7/2/22,8/6/22,
e_y_280_27,6/17/22,6b,6/22/22,7/2/22,8/6/22,
e_y_280_28,6/17/22,3t,6/22/22,7/2/22,8/6/22,
e_y_350_29,6/17/22,2b,6/22/22,7/2/22,8/6/22,
e_y_350_30,6/17/22,1b,6/22/22,7/2/22,8/6/22,
e_y_350_31,6/17/22,4b,6/21/22,7/2/22,8/6/22,
e_y_350_32,6/17/22,4b,6/22/22,7/2/22,8/6/22,
e_y_630_33,6/17/22,2t,6/23/22,7/2/22,8/6/22,
e_y_630_34,6/17/22,3t,6/23/22,7/2/22,8/6/22,
e_y_630_35,6/17/22,4b,6/21/22,7/2/22,8/6/22,
e_y_630_36,6/17/22,2t,6/22/22,7/2/22,8/6/22,
e_n_0_37,6/17/22,5t,6/23/22,7/2/22,8/6/22,
e_n_0_38,6/17/22,4t,6/23/22,7/2/22,8/6/22,
e_n_0_39,6/17/22,2b,6/23/22,7/2/22,8/6/22,
e_n_0_40,6/17/22,2b,6/23/22,7/2/22,8/6/22,
e_n_35_41,6/17/22,4b,6/23/22,7/2/22,8/6/22,
e_n_35_42,6/17/22,1b,6/23/22,7/2/22,8/6/22,
e_n_35_43,6/17/22,6t,6/23/22,7/2/22,8/6/22,
e_n_35_44,6/17/22,3t,6/23/22,7/2/22,8/6/22,
e_n_70_45,6/17/22,5t,6/23/22,7/2/22,8/6/22,
e_n_70_46,6/17/22,1t,6/23/22,7/2/22,8/6/22,
e_n_70_47,6/17/22,4t,6/22/22,7/2/22,8/6/22,
e_n_70_48,6/17/22,5b,6/23/22,7/2/22,8/6/22,
e_n_105_49,6/17/22,2t,6/23/22,7/2/22,8/6/22,
e_n_105_50,6/17/22,1t,6/22/22,7/2/22,8/6/22,
e_n_105_51,6/17/22,6t,6/23/22,7/2/22,8/6/22,
e_n_105_52,6/17/22,6t,6/22/22,7/2/22,8/6/22,
e_n_140_53,6/17/22,3t,6/23/22,7/2/22,8/6/22,
e_n_140_54,6/17/22,2t,6/23/22,7/2/22,8/6/22,
e_n_140_55,6/17/22,2b,6/22/22,7/2/22,8/6/22,
e_n_140_56,6/17/22,6b,6/23/22,7/2/22,8/6/22,
e_n_210_57,6/17/22,4b,6/23/22,7/2/22,8/6/22,
e_n_210_58,6/17/22,1t,6/23/22,7/2/22,8/6/22,
e_n_210_59,6/17/22,5b,6/23/22,7/2/22,8/6/22,
e_n_210_60,6/17/22,5b,6/23/22,7/2/22,8/6/22,
e_n_280_61,6/17/22,6b,6/23/22,7/2/22,8/6/22,
e_n_280_62,6/17/22,1b,6/23/22,7/2/22,8/6/22,
e_n_280_63,6/17/22,1b,6/23/22,7/2/22,8/6/22,
e_n_280_64,6/17/22,4t,6/23/22,7/2/22,8/6/22,
e_n_350_65,6/17/22,4b,6/22/22,7/2/22,8/6/22,
e_n_350_66,6/17/22,5t,6/23/22,7/2/22,8/6/22,
e_n_350_67,6/17/22,4t,6/22/22,7/2/22,8/6/22,
e_n_350_68,6/17/22,6t,6/23/22,7/2/22,8/6/22,
e_n_630_69,6/17/22,6b,6/23/22,7/2/22,8/6/22,
e_n_630_70,6/17/22,5t,6/22/22,7/2/22,8/6/22,
e_n_630_71,6/17/22,5b,6/22/22,7/2/22,8/6/22,
e_n_630_72,6/17/22,2t,6/23/22,7/2/22,8/6/22,
a_y_0_73,8/13/22,3t,8/18/22,8/23/22,10/2/22,
a_y_0_74,8/13/22,1b,8/18/22,8/23/22,10/2/22,
a_y_0_75,8/13/22,2t,8/18/22,8/23/22,10/2/22,
a_y_0_76,8/13/22,2b,8/18/22,8/23/22,10/2/22,
a_y_35_77,8/13/22,5b,8/19/22,8/23/22,10/2/22,
a_y_35_78,8/13/22,6t,8/18/22,8/23/22,10/2/22,
a_y_35_79,8/13/22,5t,8/19/22,8/23/22,10/2/22,
a_y_35_80,8/13/22,1b,8/18/22,8/23/22,10/2/22,
a_y_70_81,8/13/22,6t,8/18/22,8/23/22,10/2/22,
a_y_70_82,8/13/22,4b,8/18/22,8/23/22,10/2/22,
a_y_70_83,8/13/22,6b,8/19/22,8/23/22,10/2/22,
a_y_70_84,8/13/22,3t,8/18/22,8/23/22,10/2/22,
a_y_105_85,8/13/22,1t,8/18/22,8/23/22,10/2/22,
a_y_105_86,8/13/22,2b,8/18/22,8/23/22,10/2/22,
a_y_105_87,8/13/22,2t,8/18/22,8/23/22,10/2/22,
a_y_105_88,8/13/22,4b,8/19/22,8/23/22,10/2/22,
a_y_140_89,8/13/22,4t,8/19/22,8/23/22,10/2/22,
a_y_140_90,8/13/22,5t,8/19/22,8/23/22,10/2/22,
a_y_140_91,8/13/22,1b,8/18/22,8/23/22,10/2/22,
a_y_140_92,8/13/22,6b,8/18/22,8/23/22,10/2/22,
a_y_210_93,8/13/22,2t,8/18/22,8/23/22,10/2/22,
a_y_210_94,8/13/22,5b,8/19/22,8/23/22,10/2/22,
a_y_210_95,8/13/22,5t,8/19/22,8/23/22,10/2/22,
a_y_210_96,8/13/22,4t,8/19/22,8/23/22,10/2/22,
a_y_280_97,8/13/22,3t,8/18/22,8/23/22,10/2/22,
a_y_280_98,8/13/22,6b,8/18/22,8/23/22,10/2/22,
a_y_280_99,8/13/22,2b,8/18/22,8/23/22,10/2/22,
a_y_280_100,8/13/22,1t,8/18/22,8/23/22,10/2/22,
a_y_350_101,8/13/22,1t,8/18/22,8/23/22,10/2/22,
a_y_350_102,8/13/22,4b,8/19/22,8/23/22,10/2/22,
a_y_350_103,8/13/22,4t,8/19/22,8/23/22,10/2/22,
a_y_350_104,8/13/22,5b,8/19/22,8/23/22,10/2/22,
a_y_630_105,8/13/22,1b,8/18/22,8/23/22,10/2/22,
a_y_630_106,8/13/22,5b,8/18/22,8/23/22,10/2/22,
a_y_630_107,8/13/22,6t,8/18/22,8/23/22,10/2/22,
