id,leaf.d13c,leaf.d15n
e_y_0_1,-24.99,-0.74
e_y_0_2,-25.56,-1.24
e_y_0_3,-24.42,-1.14
e_y_0_4,-26.09,-0.78
e_y_35_5,-25.26,0.49
e_y_35_6,-25.30,2.80
e_y_35_7,-24.94,0.80
e_y_35_8,-25.74,0.95
e_y_70_9,-24.68,3.11
e_y_70_10,-26.44,4.39
e_y_70_11,-25.47,4.79
e_y_70_12,-25.48,4.64
e_y_105_13,-25.77,5.65
e_y_105_14,-24.91,11.67
e_y_105_15,-24.49,7.55
e_y_105_16,-25.45,7.66
e_y_140_17,-25.06,13.23
e_y_140_18,-24.55,8.46
e_y_140_19,-25.29,14.87
e_y_140_20,-25.16,10.18
e_y_210_21,-25.31,18.15
e_y_210_22,-24.97,19.68
e_y_210_23,-24.55,19.79
e_y_210_24,-24.85,20.06
e_y_280_25,-23.20,16.71
e_y_280_26,-23.86,18.77
e_y_280_27,-23.54,18.10
e_y_280_28,-25.02,22.20
e_y_350_29,-24.28,18.06
e_y_350_30,-23.50,16.34
e_y_350_31,-23.02,20.79
e_y_350_32,-23.04,20.66
e_y_630_33,-21.12,14.40
e_y_630_34,-21.95,13.26
e_y_630_35,-22.80,13.22
e_y_630_36,-21.80,15.11
e_n_0_37,-25.21,-1.99
e_n_0_38,-23.84,-1.73
e_n_0_39,-23.06,-0.22
e_n_0_40,-24.42,-2.41
e_n_35_41,-25.43,9.08
e_n_35_42,-24.44,18.78
e_n_35_43,-23.24,15.94
e_n_35_44,-24.39,17.48
e_n_70_45,-24.86,28.45
e_n_70_46,-24.90,28.28
e_n_70_47,-25.65,8.13
e_n_70_48,-26.87,22.94
e_n_105_49,-23.13,32.92
e_n_105_50,-24.33,31.72
e_n_105_51,-23.81,33.89
e_n_105_52,-23.10,36.35
e_n_140_53,-23.84,33.20
e_n_140_54,-25.42,35.87
e_n_140_55,-24.22,33.74
e_n_140_56,-23.87,33.58
e_n_210_57,-26.19,34.36
e_n_210_58,-24.56,33.54
e_n_210_59,-25.22,35.40
e_n_210_60,-25.02,34.81
e_n_280_61,-23.26,29.10
e_n_280_62,-24.09,27.10
e_n_280_63,-24.72,27.11
e_n_280_64,-25.58,28.07
e_n_350_65,-24.07,24.58
e_n_350_66,-24.94,24.02
e_n_350_67,-24.09,24.70
e_n_350_68,-23.22,23.58
e_n_630_69,-21.75,15.29
e_n_630_70,-22.21,14.34
e_n_630_71,-22.41,14.99
e_n_630_72,-22.28,14.25
a_y_0_73,-25.57,-1.56
a_y_0_74,-26.44,-1.98
a_y_0_75,-25.92,-1.47
a_y_0_76,-25.19,-1.22
a_y_35_77,-26.40,-0.50
a_y_35_78,-27.34,2.11
a_y_35_79,-26.07,0.16
a_y_35_80,-26.89,0.92
a_y_70_81,-26.80,2.22
a_y_70_82,-27.62,7.22
a_y_70_83,-26.85,2.47
a_y_70_84,-26.96,2.72
a_y_105_85,-26.80,4.69
a_y_105_86,-27.12,5.24
a_y_105_87,-26.09,4.39
a_y_105_88,-26.99,8.86
a_y_140_89,-27.64,4.21
a_y_140_90,-26.86,18.15
a_y_140_91,-26.95,8.08
a_y_140_92,-26.44,9.16
a_y_210_93,-26.23,14.07
a_y_210_94,-26.31,30.47
a_y_210_95,-26.36,16.80
a_y_210_96,-27.05,22.33
a_y_280_97,-25.78,16.52
a_y_280_98,-25.96,17.90
a_y_280_99,-26.17,19.64
a_y_280_100,-26.11,16.97
a_y_350_101,-27.18,19.66
a_y_350_102,-26.31,19.05
a_y_350_103,-25.80,20.41
a_y_350_104,-27.08,18.94
a_y_630_105,-26.07,11.90
a_y_630_106,-25.69,12.52
a_y_630_107,-25.31,13.67
a_y_630_108,-25.85,13.52
a_n_0_109,-25.79,-1.16
a_n_0_110,-27.96,1.36
a_n_0_111,-28.21,-0.01
a_n_0_112,-25.24,-0.94
a_n_35_113,-28.43,16.40
a_n_35_114,-27.87,5.24
a_n_35_115,-28.82,11.33
a_n_35_116,-27.74,20.23
a_n_70_117,-27.29,20.53
a_n_70_118,-28.23,11.92
a_n_70_119,-28.87,25.94
a_n_70_120,-28.19,26.21
a_n_105_121,-28.35,29.94
a_n_105_122,-27.21,9.56
a_n_105_123,-27.75,25.48
a_n_105_124,-27.40,30.96
a_n_140_125,-27.83,29.45
a_n_140_126,-27.36,29.61
a_n_140_127,-27.57,30.39
a_n_140_128,-28.50,32.62
a_n_210_129,-27.91,33.31
a_n_210_130,-26.58,31.33
a_n_210_131,-26.51,30.49
a_n_210_132,-27.74,32.55
a_n_280_133,-26.22,25.49
a_n_280_134,-26.49,23.95
a_n_280_135,-26.58,25.69
a_n_280_136,-26.89,24.52
a_n_350_137,-26.29,21.33
a_n_350_138,-25.11,21.15
a_n_350_139,-26.46,18.88
a_n_350_140,-27.43,21.57
a_n_630_141,-26.19,13.90
a_n_630_142,-25.87,12.67
a_n_630_143,-26.63,12.47
a_n_630_144,-26.00,12.88
