"id","tleaf","vcmax25","jmax25","jmax25.vcmax25","rd25","tpu"
"a_y_105_86",25.039,84.564,NA,NA,1.964,9.276
"a_y_105_87",25.02,96.058,163.536,1.702,2.933,9.924
"a_y_105_88",25.02,96.317,169.141,1.756,1.441,10.327
"a_y_140_89",25.009,116.036,197.705,1.704,1.864,12.089
"a_y_140_90",25.043,92.577,164.836,1.781,3.107,10.658
"a_y_140_91",25.015,117.178,196.6,1.678,3.77,11.603
"a_y_140_92",25.021,100.316,162.756,1.622,2.913,9.174
"a_y_210_93",25.014,106.878,160.104,1.498,4.425,10.056
"a_y_210_94",25.027,94.832,155.165,1.636,2.643,NA
"a_y_210_95",25.031,101.164,173.144,1.712,3.148,10.056
"a_y_210_96",25.022,94.115,155.52,1.652,1.594,9.834
"a_y_280_97",25.025,103.866,181.191,1.744,1.923,10.836
"a_y_280_97",25.025,80.275,135.299,1.685,3.077,7.818
"a_y_280_99",25.017,100.622,166.926,1.659,1.902,9.912
"a_y_280_100",24.993,103.542,168.514,1.627,3.32,10.574
"a_y_350_101",25.033,130.887,230.225,1.759,3.772,13.482
"a_y_350_102",25.026,87.656,139.422,1.591,2.584,9.446
"a_y_350_103",25.031,109.452,191.406,1.749,1.973,11.558
"a_y_350_104",25.026,104.669,173.212,1.655,1.561,10.907
"a_y_630_105",25.019,115.812,198.996,1.718,3.782,11.354
"a_y_630_106",25.033,106.955,182.943,1.71,2.916,10.722
"a_y_630_107",25.019,103.883,174.438,1.679,1.973,9.967
"a_y_630_108",25.002,66.162,112.535,1.701,2.707,NA
"a_n_0_109",24.999,87.779,149.242,1.7,2.767,8.609
"a_n_0_110",25.003,5.932,15.502,2.613,-0.289,1.145
"a_n_0_111",24.986,9.801,21.273,2.17,0.68,NA
"a_n_0_112",25.025,103.735,179.573,1.731,2.522,10.673
"a_n_35_113",25,32.525,61.813,1.9,0.177,4.526
"a_n_35_114",24.998,17.354,35.823,2.064,1.156,NA
"a_n_35_115",24.99,17.087,33.247,1.946,1.023,NA
"a_n_35_116",25.021,54.64,101.24,1.853,2.094,6.531
"a_n_70_117",27.485,64.051,107.676,1.681,2.211,7.652
"a_n_70_118",25.021,84.17,144.522,1.717,2.344,8.855
