"id","tleaf_wk6","anet_wk6","gsw_wk6","ci.ca_wk6","vcmax25_wk6","jmax25_wk6","jmax25.vcmax25_wk6","rd25_wk6","tpu_wk6"
"a_y_35_77",25.02,24.056,0.369,0.691,117.966,206.597,1.751,3.118,12.02
"a_y_35_78",25.019,17.023,0.204,0.624,91.194,168.367,1.846,2.385,10.534
"a_y_35_79",25.017,18.972,0.234,0.637,91.21,168.386,1.846,2.385,10.534
"a_y_35_80",25.005,16.785,0.21,0.645,93.882,162.651,1.732,3.656,9.559
"a_y_350_101",25.032,26.187,0.525,0.749,123.172,219.297,1.78,4.173,12.941
"a_y_350_102",25.018,20.334,0.257,0.642,113.158,210.099,1.857,2.584,13.456
"a_y_350_103",25.019,12.278,0.139,0.62,67.56,122.371,1.811,1.973,7.957
"a_y_350_104",25.062,22.748,0.381,0.715,100.543,178.812,1.778,1.561,10.202
"a_y_630_105",25.026,17.616,0.258,0.686,91.252,159.825,1.751,3.782,10.052
"a_y_630_106",25.023,25.397,0.384,0.682,123.702,214.647,1.735,2.916,13.683
"a_y_630_107",25.044,26.141,0.523,0.748,112.835,208.572,1.848,1.973,13.658
"a_y_630_108",25.032,20.657,0.293,0.674,102.882,177.089,1.721,2.707,11.134
"a_y_70_81",25.031,18.263,0.277,0.676,83.876,141.597,1.688,1.553,NA
"a_y_70_82",25.017,24.996,0.367,0.679,117.409,217.69,1.854,2.553,12.516
"a_y_70_83",25.032,27.17,0.514,0.736,126.132,234.952,1.863,3.419,13.593
"a_y_70_84",25.022,22.097,0.418,0.743,97.225,178.51,1.836,2.276,10.484
"e_n_0_37",27.428,2.189,0.038,0.754,7.796,19.915,2.555,-2.89,NA
"e_n_0_38",27.909,-0.039,0.02,0.975,4.475,9.712,2.17,1.453,0.812
"e_n_0_39",27.716,2.752,0.038,0.694,15.595,33.434,2.144,1.18,NA
"e_n_0_40",27.443,1.505,0.037,0.816,10.139,NA,NA,0.353,2.191
"e_n_105_49",27.752,8.276,0.126,0.712,44.403,75.23,1.694,2.893,5.377
"e_n_105_52",27.469,7.148,0.117,0.733,35.151,73.871,2.102,1.741,5.716
"e_n_105_51",NA,8.123,0.113,0.689,NA,NA,NA,4.685,7.76
"e_n_140_53",27.485,7.377,0.137,0.761,35.242,70.694,2.006,2.126,5.454
"e_n_140_54",27.572,8.578,0.15,0.746,39.69,74.261,1.871,1.971,NA
"e_n_140_55",26.908,12.228,0.185,0.706,65.304,127.051,1.946,4.077,9.474
"e_n_140_56",27.364,4.029,0.051,0.669,25.782,59.252,2.298,2.244,NA
"e_n_210_57",27.5,28.493,0.517,0.741,57.237,121.142,2.116,0.46,9.243
"e_n_210_58",26.892,13.697,0.176,0.656,95.469,188.704,1.977,7.731,12.979
"e_n_210_59",26.976,18.841,0.314,0.719,88.031,171.886,1.953,2.818,11.353
"e_n_210_60",28.254,8.117,0.102,0.657,41.457,87.188,2.103,0.936,7.227
"e_n_280_61",27.272,17.317,0.275,0.711,81.35,155.095,1.907,2.822,11.626
"e_n_280_62",27.49,2.588,0.044,0.742,25.454,61.446,2.414,3.956,NA
"e_n_280_63",26.855,17.745,0.384,0.776,81.945,147.468,1.8,4.263,9.321
