id,a_649,a_665
e_n_0_37,0.235666667,0.249666667
e_n_0_38,0.224333333,0.244
e_n_0_39,0.297666667,0.312333333
e_n_0_40,0.246333333,0.289
e_n_105_49,0.238666667,0.285666667
e_n_105_50,0.260333333,0.314
e_n_105_51,0.261666667,0.315666667
e_n_105_52,0.267666667,0.311
e_n_140_53,0.251,0.276
e_n_140_54,0.266666667,0.317333333
e_n_140_55,0.257333333,0.289333333
e_n_140_56,0.258,0.310666667
e_n_210_57,0.271,0.327666667
e_n_210_58,0.266666667,0.315666667
e_n_210_59,0.287,0.378
e_n_210_60,0.25,0.295333333
e_n_280_61,0.278,0.368666667
e_n_280_62,0.260333333,0.304666667
e_n_280_63,0.286,0.378666667
e_n_280_64,0.275333333,0.337666667
e_n_35_41,0.312,0.442
e_n_35_42,0.231,0.255333333
e_n_35_43,0.235666667,0.245
e_n_35_44,0.241333333,0.263
e_n_350_65,0.299333333,0.427
e_n_350_66,0.297666667,0.403333333
e_n_350_67,0.300666667,0.401333333
e_n_350_68,0.332666667,0.491
e_n_630_69,0.389,0.662
e_n_630_70,0.378666667,0.614666667
e_n_630_71,0.365,0.553
e_n_630_72,0.353333333,0.563
e_n_70_45,0.292,0.384
e_n_70_46,0.353,0.359333333
e_n_70_47,0.282666667,0.350666667
e_n_70_48,0.272333333,0.332666667
e_y_0_1,0.313666667,0.463
e_y_0_2,0.345333333,0.523666667
e_y_0_3,0.369333333,0.457666667
e_y_0_4,0.324333333,0.482666667
e_y_105_13,0.322333333,0.469666667
e_y_105_14,0.307,0.436
e_y_105_15,0.306666667,0.419666667
e_y_105_16,0.307666667,0.436
e_y_140_17,0.276333333,0.372
e_y_140_18,0.263333333,0.357333333
e_y_140_19,0.280666667,0.364666667
e_y_140_20,0.292,0.403666667
e_y_210_21,0.281,0.380666667
e_y_210_22,0.292333333,0.383333333
e_y_210_23,0.286666667,0.359
e_y_210_24,0.345,0.395
e_y_280_25,0.421,0.552333333
e_y_280_26,0.309666667,0.385666667
e_y_280_27,0.329333333,0.487666667
e_y_280_28,0.315666667,0.420333333
e_y_35_5,0.313,0.385
e_y_35_6,0.312,0.416666667
e_y_35_7,0.339,0.514666667
e_y_35_8,0.334666667,0.517666667
e_y_350_29,0.287,0.393
e_y_350_30,0.284,0.385666667
e_y_350_31,0.330666667,0.486666667
e_y_350_32,0.328333333,0.493
e_y_630_33,0.337666667,0.512666667
e_y_630_34,0.333,0.509666667
e_y_630_35,0.370333333,0.596
e_y_630_36,0.355,0.545
e_y_70_10,0.344666667,0.511
e_y_70_11,0.281,0.376
e_y_70_12,0.316666667,0.459
e_y_70_9,0.297,0.372
