id,tla,focal_biomass,leaf_biomass,chlor_biomass,stem_biomass,root_biomass,nodule_biomass,total_biomass,bvr
E_N_630_72,797.09,0.216,6.091,0.185,3.17,4.397,0,14.059,2.343
A_Y_0_73,,,,,,,,0,0.000
A_Y_0_74,,,,,,,,0,0.000
A_Y_0_75,,,,,,,,0,0.000
A_Y_0_76,,,,,,,,0,0.000
A_Y_35_77,,,,,,,,0,0.000
A_Y_35_78,,,,,,,,0,0.000
A_Y_35_79,,,,,,,,0,0.000
A_Y_35_80,,,,,,,,0,0.000
A_Y_70_81,,,,,,,,0,0.000
A_Y_70_82,,,,,,,,0,0.000
A_Y_70_83,,,,,,,,0,0.000
A_Y_70_84,,,,,,,,0,0.000
A_Y_105_85,,,,,,,,0,0.000
A_Y_105_86,,,,,,,,0,0.000
A_Y_105_87,,,,,,,,0,0.000
A_Y_105_88,,,,,,,,0,0.000
A_Y_140_89,,,,,,,,0,0.000
A_Y_140_90,,,,,,,,0,0.000
A_Y_140_91,,,,,,,,0,0.000
A_Y_140_92,,,,,,,,0,0.000
A_Y_210_93,,,,,,,,0,0.000
A_Y_210_94,,,,,,,,0,0.000
A_Y_210_95,,,,,,,,0,0.000
A_Y_210_96,,,,,,,,0,0.000
A_Y_280_97,,,,,,,,0,0.000
A_Y_280_98,,,,,,,,0,0.000
A_Y_280_99,,,,,,,,0,0.000
A_Y_280_100,,,,,,,,0,0.000
A_Y_350_101,,,,,,,,0,0.000
A_Y_350_102,,,,,,,,0,0.000
A_Y_350_103,,,,,,,,0,0.000
A_Y_350_104,,,,,,,,0,0.000
A_Y_630_105,,,,,,,,0,0.000
A_Y_630_106,,,,,,,,0,0.000
A_Y_630_107,,,,,,,,0,0.000
A_Y_630_108,,,,,,,,0,0.000
A_N_0_109,,,,,,,,0,0.000
A_N_0_110,,,,,,,,0,0.000
A_N_0_111,,,,,,,,0,0.000
A_N_0_112,,,,,,,,0,0.000
A_N_35_113,,,,,,,,0,0.000
A_N_35_114,,,,,,,,0,0.000
A_N_35_115,,,,,,,,0,0.000
A_N_35_116,,,,,,,,0,0.000
A_N_70_117,,,,,,,,0,0.000
A_N_70_118,,,,,,,,0,0.000
A_N_70_119,,,,,,,,0,0.000
A_N_70_120,,,,,,,,0,0.000
A_N_105_121,,,,,,,,0,0.000
A_N_105_122,,,,,,,,0,0.000
A_N_105_123,,,,,,,,0,0.000
A_N_105_124,,,,,,,,0,0.000
A_N_140_125,,,,,,,,0,0.000
A_N_140_126,,,,,,,,0,0.000
A_N_140_127,,,,,,,,0,0.000
A_N_140_128,,,,,,,,0,0.000
A_N_210_129,,,,,,,,0,0.000
A_N_210_130,,,,,,,,0,0.000
A_N_210_131,,,,,,,,0,0.000
A_N_210_132,,,,,,,,0,0.000
A_N_280_133,,,,,,,,0,0.000
A_N_280_134,,,,,,,,0,0.000
A_N_280_135,,,,,,,,0,0.000
A_N_280_136,,,,,,,,0,0.000
A_N_350_137,,,,,,,,0,0.000
A_N_350_138,,,,,,,,0,0.000
A_N_350_139,,,,,,,,0,0.000
A_N_350_140,,,,,,,,0,0.000
A_N_630_141,,,,,,,,0,0.000
A_N_630_142,,,,,,,,0,0.000
A_N_630_143,,,,,,,,0,0.000
A_N_630_144,,,,,,,,0,0.000
