"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_hum","CO2_hrs","AccH2O_des","AccCO2_soda","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","week"
1,1664395978.6,0,2022-09-28 15:12:58,15:12:58,5,"a_n_105_122","ozzie",1664395975.85,0.00049093072112878,0.490930721128783,-2.96316997657572,423.231903676322,574.228524769325,52.3061125072714,38.551925958839,0.0289474969454592,2.7652979113567,0.0287801995344359,0.018002574979372,0.00015962074799999,25.6272420337364,25.6272420337364,3.30054438997965,53.8065354765354,1.79016656593749,3.3270429885198,1.51037782404216,-21.6500448017793,20.1005227736433,1.54831390812162,-0.00104849926640682,-2.93302270285572,0.491348530570844,-2.96316997657572,428.104506265326,431.728236363636,9.72873788605454e-05,65.0895881611186,0.490930721128783,19.0726696831432,19.6503490909091,-2.75680304057426e-05,128.497435448459,0,0,1,0,48399,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664395975.85,423.2319,419.9625,19.65286,19.07495,416.5646,19.35045,500.1043,90.98935,0.10001643,25.76207,25.06773,999.9,0,0,9992.125,0,0.220656,3.269577,431.7163,428.1289,0.5779069,419.9625,19.07495,1.788201,1.735617,15.68402,15.21871,0.00100013,0,0,0,887.1,0.00100013,-21.6,-2,35.2872,38.7372,36.8624,38.7998,37.2996,0,0,0,1664395964.4,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.301031,-0.277454859287064,0.0348009791385243,0,0.57199585,0.00254683677298255,0.00250479612493712,1,1,2,"1/2",2.97378,2.75369,0.0915471,0.0922624,0.0903634,0.089343,35421.4,38591.6,35332.9,38555.5,45562.1,50697.2,55211.9,61826.2,1.98215,1.84578,0.0532418,0,24.2049,999.9,50.69,29.86,23.5457,60.591,45.0321,1,-0.0761636,0.0224428,20.1655,5.19962,12.0061,4.97575,3.29373,9999,726.2,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86958,1.86565,1.86674,1.86811,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.668,0.3023,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1526.1,1526,1.0144,2.6123,1.54785,2.2998,1.34644,2.43286,33.3335,15.8657,18,495.487,408.339,24.9129,26.2647,29.9998,26.2983,26.247,20.3246,26.3895,61.3389,24.8435,420,19.0932,102.434,102.921,7
2,1664395983.6,5,2022-09-28 15:13:03,15:13:03,5,"a_n_105_122","ozzie",1664395981.1,0.00048047024204962,0.480470242049629,-2.92803395247917,423.246559198543,575.89388095213,52.4578056325372,38.5532586322494,0.0283118864582932,2.76700929016104,0.0281519316726696,0.0176092531270083,0.00015962074799999,25.6241645442424,25.6241645442424,3.2999417098558,53.7828652074055,1.78874000026558,3.32585479291142,1.51120170959022,-21.1887376743886,19.6731847524123,1.51439018624053,-0.00100311498784222,-2.95078311513631,0.524905660968201,-2.92803395247917,428.123524127685,431.705739393939,-0.0002240362860058,65.0895881611186,0.480470242049629,19.0132386262295,19.6267709090909,-0.0051426170155923,128.497435448459,0,0,1,0,48214,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664395981.1,423.246555555556,419.972777777778,19.6372,19.0197888888889,416.579,19.3354888888889,500.086222222222,90.9893777777778,0.0999832444444444,25.7560444444444,25.0710222222222,999.9,0,0,10002.2222222222,0,0.220656,3.27355,431.724333333333,428.115555555556,0.617409666666667,419.972777777778,19.0197888888889,1.78677888888889,1.7306,15.6716,15.1736444444444,0.00100013,0,0,0,891.277777777778,0.00100013,-18.6111111111111,-0.166666666666667,35.208,38.6178888888889,36.7706666666667,38.6176666666667,37.222,0,0,0,1664395969.2,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.28577756097561,-0.205216933797908,0.0317039076440873,0,0.582475804878049,0.149974222996515,0.0186284905627067,0,0,2,"0/2",2.97392,2.75391,0.0915444,0.0922512,0.0902807,0.0892153,35421.9,38592.3,35333.2,38555.7,45566.9,50704.8,55212.6,61826.8,1.98237,1.84557,0.051856,0,24.2089,999.9,50.617,29.87,23.526,60.901,45.008,1,-0.0760696,0.111318,20.1653,5.19947,12.0052,4.9757,3.2937,9999,726.2,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86959,1.86565,1.86674,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.667,0.3011,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1526.2,1526,1.0144,2.60864,1.54785,2.2998,1.34644,2.42554,33.3335,15.8657,18,495.6,408.202,24.8455,26.2614,30,26.2945,26.2437,20.3267,26.3895,61.3389,24.7717,420,19.1063,102.435,102.921,7
3,1664395988.6,10,2022-09-28 15:13:08,15:13:08,5,"a_n_105_122","ozzie",1664395985.8,0.00046422074533549,0.46422074533549,-2.90787621570202,423.233403617099,580.652400580198,52.8900350780331,38.5511702718122,0.0273148185149133,2.76710374892416,0.0271659047646168,0.0169920019767434,0.00015962074799999,25.6215937046399,25.6215937046399,3.2994383232094,53.7337231089057,1.78636049484589,3.32446812074674,1.5130778283635,-20.4721348692951,19.0079753409546,1.46306358108458,-0.00093632650797559,-2.94954666585135,0.51341158602161,-2.90787621570202,428.110201426237,431.667878787879,-0.00026657697648745,65.0895881611186,0.46422074533549,19.006954419651,19.6003496969697,-0.00503299848036281,128.497435448459,0,0,1,0,48221,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664395985.8,423.2334,419.9553,19.61153,19.00763,416.566,19.31099,500.0922,90.98733,0.0999281,25.74901,25.0539,999.9,0,0,10003.005,0,0.220656,3.27812,431.6996,428.0922,0.6039006,419.9553,19.00763,1.784401,1.729453,15.65081,15.16335,0.00100013,0,0,0,876.8,0.00100013,-8.75,-0.1,35.1622,38.5248,36.7122,38.4746,37.1622,0,0,0,1664395974,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.2752225,-0.0142196622889291,0.0240049894553195,1,0.590984575,0.178181459662288,0.0203272253823382,0,1,2,"1/2",2.97385,2.75407,0.0915385,0.092252,0.0902039,0.0892389,35421.9,38592.7,35333,38556,45570.5,50703.6,55212.2,61826.9,1.98237,1.8456,0.0512302,0,24.211,999.9,50.592,29.87,23.5136,60.761,45.004,1,-0.0760391,0.171307,20.1653,5.19992,12.0056,4.97575,3.29368,9999,726.2,9999,9999,1.86295,1.86783,1.86753,1.86874,1.86955,1.86563,1.86673,1.86811,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.667,0.3,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1526.2,1526.1,1.0144,2.60498,1.54785,2.2998,1.34644,2.43408,33.3111,15.8569,18,495.574,408.192,24.7714,26.2586,30,26.2916,26.2404,20.3303,26.1128,61.3389,24.7179,420,19.1245,102.434,102.922,7
4,1664395993.6,15,2022-09-28 15:13:13,15:13:13,5,"a_n_105_122","ozzie",1664395991.1,0.00047967719244527,0.479677192445274,-2.89228514505941,423.187003593842,574.27648833045,52.3080382840691,38.5460356380979,0.028231481913359,2.76730453531898,0.0280724484786433,0.0175594940044835,0.00015962074799999,25.61343867418,25.61343867418,3.29784196055472,53.7018113509224,1.78488462654372,3.32369538688394,1.512957334011,-21.1537641868366,19.6410169281542,1.51158808681751,-0.00099955111684479,-2.89047716854078,0.484608570735592,-2.89228514505941,428.115129307722,431.652333333333,1.78846393886977e-05,65.0895881611186,0.479677192445274,19.0283991461732,19.5946309090909,-0.00021476789958981,128.497435448459,0,0,1,0,48266,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664395991.1,423.187,419.965222222222,19.5957888888889,19.0257777777778,416.519888888889,19.2959666666667,500.108444444444,90.9852222222222,0.0998898222222222,25.7450888888889,25.0503111111111,999.9,0,0,10004.4222222222,0,0.220656,3.22174,431.645444444444,428.110444444444,0.570034555555555,419.965222222222,19.0257777777778,1.78292777777778,1.73106333333333,15.6379111111111,15.1778222222222,0.00100013,0,0,0,883.833333333333,0.00100013,-21.3333333333333,-2.05555555555556,35.097,38.4094444444444,36.611,38.3192222222222,37.083,0,0,0,1664395979.4,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.2638115,-0.0909410881801202,0.0279894104573498,1,0.59261095,0.00768175609755935,0.0193036629217747,1,2,2,"2/2",2.97381,2.75378,0.0915338,0.0922587,0.0901828,0.0892956,35422,38592.3,35332.9,38555.9,45571.1,50700.4,55211.7,61826.9,1.98223,1.84608,0.0509024,0,24.212,999.9,50.568,29.86,23.4886,60.411,45.028,1,-0.0762602,0.150621,20.1654,5.19962,12.0049,4.97575,3.29365,9999,726.2,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86956,1.86568,1.86673,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.667,0.2997,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1526.3,1526.2,1.0144,2.60498,1.54785,2.2998,1.34644,2.40967,33.3111,15.8569,18,495.441,408.434,24.7083,26.2553,29.9999,26.2879,26.2371,20.3305,25.8261,61.3389,24.6675,420,19.1384,102.433,102.922,7
5,1664395998.6,20,2022-09-28 15:13:18,15:13:18,5,"a_n_105_122","ozzie",1664395995.8,0.00046980248754503,0.469802487545036,-2.85550798097735,423.191703555113,575.471821442051,52.4149592111155,38.5450252364048,0.0276688922430352,2.76570517108646,0.0275160276752867,0.017211181034094,0.00015962074799999,25.6063398442558,25.6063398442558,3.29645290049955,53.7279193545813,1.78472157182112,3.32177682154919,1.51173132867842,-20.7182897007361,19.236020205852,1.48115006715707,-0.00095980697903286,-2.88618040833146,0.470447106472273,-2.85550798097735,428.136980667795,431.630175757576,-0.00015355886090837,65.0895881611186,0.469802487545036,19.0453013527232,19.5967145454545,0.00012728425034664,128.497435448459,0,0,1,0,48215,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664395995.8,423.1917,419.9678,19.59473,19.04136,416.5246,19.29493,500.0945,90.98164,0.10007288,25.73535,25.04052,999.9,0,0,9995.375,0,0.220656,3.223875,431.6496,428.1198,0.5533543,419.9678,19.04136,1.782758,1.732415,15.63643,15.18998,0.00100013,0,0,0,892.3,0.00100013,-22.15,-1.2,35.0496,38.3059,36.5496,38.1874,37.0248,0,0,0,1664395984.2,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.24937975,-0.245542176360234,0.0358148990985247,0,0.58827135,-0.229421403377112,0.0244679393876456,0,0,2,"0/2",2.97395,2.75382,0.0915294,0.0922346,0.0901929,0.0893468,35422,38593.6,35332.7,38556.2,45570.4,50698.1,55211.4,61827.6,1.98245,1.8459,0.0494495,0,24.214,999.9,50.543,29.86,23.4793,60.751,45.0921,1,-0.07672,0.143295,20.1653,5.20007,12.0055,4.97575,3.29365,9999,726.2,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86955,1.86564,1.86674,1.86812,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.667,0.2999,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1526.4,1526.3,1.0144,2.60742,1.54785,2.2998,1.34644,2.3645,33.3111,15.8482,18,495.563,408.312,24.6569,26.2525,29.9999,26.285,26.2338,20.3352,25.5543,61.3389,24.6271,420,19.1465,102.433,102.923,7
6,1664396003.6,25,2022-09-28 15:13:23,15:13:23,5,"a_n_105_122","ozzie",1664396001.1,0.00044599807851117,0.445998078511171,-2.91468291137382,423.128670298918,587.608455270733,53.5212788170127,38.5399279663295,0.0262786989711543,2.76425860740217,0.0261406964325499,0.0163502737062348,0.00015962074799999,25.6044664668573,25.6044664668573,3.29608641354816,53.7756734621213,1.78542368607761,3.32013263829272,1.51066272747056,-19.6685152623426,18.2607693141094,1.40672050668926,-0.00086582079593355,-2.91887886622803,0.445422375374955,-2.91468291137382,427.999784153129,431.565842424243,-0.00022375622858859,65.0895881611186,0.445998078511171,19.0864890595179,19.6081866666667,0.00030926980809818,128.497435448459,0,0,1,0,48211,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664396001.1,423.128666666667,419.852777777778,19.6021111111111,19.0781777777778,416.461777777778,19.3019777777778,500.091666666667,90.9832222222222,0.100012433333333,25.727,25.0218777777778,999.9,0,0,9986.66666666667,0,0.220656,3.27570333333333,431.588444444444,428.018444444444,0.523939888888889,419.852777777778,19.0781777777778,1.78346222222222,1.73579444444444,15.6425888888889,15.2202777777778,0.00100013,0,0,0,875.611111111111,0.00100013,-17.1666666666667,-1,34.972,38.222,36.5,38.0414444444445,36.958,0,0,0,1664395989,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.25524625,-0.0391221388367765,0.0390182325770594,1,0.56936705,-0.295127909943717,0.0288284073388992,0,1,2,"1/2",2.97379,2.75383,0.0915223,0.0922417,0.0902377,0.0895483,35422.9,38593.5,35333.3,38556.3,45568.6,50687.1,55212,61827.8,1.98258,1.84597,0.0493973,0,24.2154,999.9,50.543,29.86,23.4793,60.881,45.1522,1,-0.0769614,0.106212,20.1654,5.19977,12.0055,4.9757,3.2939,9999,726.2,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86955,1.86566,1.86675,1.86812,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.667,0.3005,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1526.5,1526.4,1.0144,2.60864,1.54785,2.2998,1.34644,2.323,33.2887,15.8482,18,495.615,408.334,24.6146,26.2492,29.9998,26.2818,26.2311,20.34,25.5543,61.3389,24.6049,420,19.1388,102.434,102.923,7
7,1664396008.6,30,2022-09-28 15:13:28,15:13:28,5,"a_n_105_122","ozzie",1664396005.8,0.00047130468288262,0.471304682882626,-2.83591199405234,423.094803527311,573.11090111958,52.2005062461622,38.53663032949,0.0278755795523775,2.7666585995803,0.0277204827073464,0.0173391644559695,0.00015962074799999,25.5869669764904,25.5869669764904,3.29266472449071,53.8649041682631,1.7872572337019,3.31803659785389,1.50540749078881,-20.7845365151238,19.2982669885461,1.48514466633975,-0.00096523948997884,-2.81501511130038,0.4331153681169,-2.83591199405234,428.106237141649,431.574533333333,8.98205110346632e-05,65.0895881611186,0.471304682882626,19.1147316556959,19.6329763636364,0.00383792835505852,128.497435448459,0,0,1,0,48235,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664396005.8,423.0948,419.9373,19.62235,19.11291,416.4283,19.32132,500.0981,90.9828,0.09993136,25.71635,25.01607,999.9,0,0,10000.875,0,0.220656,3.157576,431.5633,428.1198,0.5094165,419.9373,19.11291,1.785295,1.738947,15.65864,15.24854,0.00100013,0,0,0,881.15,0.00100013,-17.55,-2.25,34.9246,38.1372,36.4433,37.9248,36.8998,0,0,0,1664395994.4,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.2315385,-0.112945440900569,0.0457713872167974,0,0.54372885,-0.274923692307691,0.0273179541680467,0,0,2,"0/2",2.9738,2.75389,0.0915234,0.0922672,0.0903146,0.0895682,35423,38592.8,35333.4,38556.7,45564.7,50686.3,55212.1,61828.3,1.98265,1.846,0.0482053,0,24.2153,999.9,50.519,29.86,23.4656,60.771,45.2003,1,-0.0777718,0.0502233,20.1654,5.19977,12.0059,4.9757,3.2935,9999,726.2,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86954,1.86562,1.86674,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.666,0.3016,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1526.6,1526.5,1.0144,2.60986,1.54785,2.2998,1.34644,2.30469,33.2887,15.8482,18,495.634,408.327,24.5912,26.2464,29.9996,26.2785,26.2283,20.3385,25.5543,61.3389,24.589,420,19.1336,102.434,102.924,7
8,1664396013.6,35,2022-09-28 15:13:33,15:13:33,5,"a_n_105_122","ozzie",1664396011.1,0.00045958493383435,0.459584933834359,-2.83833791157826,423.141781309988,577.109965454624,52.5645243852458,38.540742342863,0.0272337877886761,2.76367523271713,0.0270855710963331,0.0169417312391021,0.00015962074799999,25.5806625739069,25.5806625739069,3.29143278027147,53.9492990089893,1.78906051677229,3.31618862457172,1.50237226349918,-20.2676955820952,18.8170555290927,1.44956079914784,-0.00091963310670806,-2.85226351068361,0.448150880949936,-2.83833791157826,428.14148488828,431.613206060606,-2.44996910564496e-05,65.0895881611186,0.459584933834359,19.1149525452789,19.6480903030303,0.00078732293194639,128.497435448459,0,0,1,0,48294,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664396011.1,423.141777777778,419.947333333333,19.6422333333333,19.1151333333333,416.475111111111,19.3402888888889,500.111777777778,90.9822444444444,0.1000926,25.7069555555556,25.0000555555556,999.9,0,0,9983.33333333333,0,0.220656,3.19439,431.620111111111,428.131444444444,0.527082,419.947333333333,19.1151333333333,1.78709444444444,1.73913777777778,15.6743222222222,15.2502555555556,0.00100013,0,0,0,879.777777777778,0.00100013,-17.7777777777778,-1.88888888888889,34.861,38.0482222222222,36.361,37.8052222222222,36.819,0,0,0,1664395999.2,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.20844575,-0.30390923076924,0.0648055005338089,0,0.530360975,-0.149836964352721,0.0196422405589173,0,0,2,"0/2",2.97386,2.75378,0.0915233,0.0922392,0.0903625,0.0895688,35422.8,38594.5,35333.1,38557.2,45562.1,50687.1,55211.9,61829.2,1.98265,1.84658,0.0478998,0,24.2134,999.9,50.519,29.86,23.4663,60.901,45.2925,1,-0.0782876,0.00621732,20.1654,5.19977,12.0067,4.97575,3.2938,9999,726.2,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86953,1.86566,1.86674,1.86811,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.666,0.3022,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1526.7,1526.5,1.01562,2.61841,1.54785,2.2998,1.34644,2.2583,33.2887,15.8482,18,495.609,408.621,24.5774,26.2431,29.9995,26.2757,26.2245,20.3448,25.5543,61.3389,24.5883,420,19.1336,102.434,102.925,7
9,1664396018.6,40,2022-09-28 15:13:38,15:13:38,5,"a_n_105_122","ozzie",1664396015.8,0.00046107297950392,0.461072979503928,-2.8447296226798,423.091803522903,576.645771178703,52.5220910146838,38.5360776456819,0.0273680593709172,2.76764425738391,0.0272185952803405,0.0170249826262708,0.00015962074799999,25.5728261277357,25.5728261277357,3.28990202054264,54.0028960532132,1.79003138529415,3.3146951665894,1.49987063524849,-20.3333183961232,18.8800225610301,1.45221311713601,-0.00092309720910321,-2.87392788897529,0.45676706873516,-2.8447296226798,428.066883943441,431.54706060606,-0.00015542221939066,65.0895881611186,0.461072979503928,19.1160355636603,19.6562084848485,0.00022529564045042,128.497435448459,0,0,1,0,48417,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664396015.8,423.0918,419.8757,19.65295,19.11572,416.4253,19.35054,500.1101,90.98216,0.0999109,25.69936,24.99675,999.9,0,0,10006.765,0,0.220656,3.215912,431.5735,428.0586,0.5372304,419.8757,19.11572,1.788067,1.73919,15.68287,15.25071,0.00100013,0,0,0,884.6,0.00100013,-30.05,-2.45,34.812,37.9748,36.2996,37.6872,36.7624,0,0,0,1664396004,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.21220175,-0.251786904315198,0.0655637925568488,0,0.5253177,0.0185729606003741,0.0140107139578966,1,1,2,"1/2",2.97364,2.75385,0.0915176,0.0922422,0.09039,0.0895763,35423.3,38594.3,35333.4,38557.2,45560.9,50686.6,55212.2,61829.2,1.98265,1.84645,0.0473782,0,24.2123,999.9,50.519,29.86,23.4679,60.881,45.5809,1,-0.0786103,-0.2303,20.1658,5.19977,12.0056,4.97575,3.29378,9999,726.2,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86953,1.86565,1.86673,1.86812,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.666,0.3027,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1526.7,1526.6,1.01562,2.61719,1.54785,2.2998,1.34644,2.27661,33.2887,15.8394,18,495.579,408.531,24.5773,26.2403,29.9997,26.2724,26.2217,20.3484,25.5543,61.3389,24.8796,420,19.1336,102.435,102.925,7
10,1664396023.6,45,2022-09-28 15:13:43,15:13:43,5,"a_n_105_122","ozzie",1664396021.1,0.00046981066195766,0.469810661957666,-2.78536661632999,423.064447896832,569.935273879946,51.9113848698446,38.5339570755309,0.0279357624929922,2.77039423003075,0.0277802060145227,0.0173765325478427,0.00015962074799999,25.5647753953893,25.5647753953893,3.2883300501802,54.0479403276897,1.79091137929141,3.31356082846675,1.49741867088879,-20.7186501923331,19.239260547625,1.47827340812834,-0.00095661583172557,-2.76159290235161,0.464333366808824,-2.78536661632999,428.183382263196,431.588933333333,0.00028072156487796,65.0895881611186,0.469810661957666,19.1162322849915,19.6666024242424,0.00023414295368098,128.497435448459,0,0,1,0,48297,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664396021.1,423.064444444444,419.986888888889,19.6624222222222,19.1162888888889,416.398222222222,19.3595666666667,500.101444444444,90.9830777777778,0.0998701444444444,25.6935888888889,24.9885222222222,999.9,0,0,10022.9111111111,0,0.220656,3.07767444444444,431.55,428.171777777778,0.546140111111111,419.986888888889,19.1162888888889,1.78894777777778,1.73925888888889,15.6905444444444,15.2513111111111,0.00100013,0,0,0,875.055555555556,0.00100013,-17.9444444444444,-2.05555555555556,34.7844444444444,38.0067777777778,36.2913333333333,37.7565555555556,36.7637777777778,0,0,0,1664396009.4,0,0,"--:--:--",1664304414,1664304421,0,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.1701305,-0.185104615384616,0.0665575826239956,0,0.527317325,0.146212536585365,0.0143190931336232,0,0,2,"0/2",2.9737,2.75403,0.0915266,0.0922648,0.0904254,0.0895711,35423.3,38593.7,35333.7,38557.4,45559.5,50687.3,55212.6,61829.7,1.98293,1.84655,0.0477061,0,24.2114,999.9,50.494,29.839,23.4272,60.621,45.641,1,-0.0781555,-1.04818,20.1633,5.20007,12.0071,4.9757,3.29355,9999,726.2,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86954,1.86565,1.86669,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.667,0.3031,3.89755500544357,0.00694431266007502,-7.19981253475451e-07,2.77540345218163e-11,-0.0217325287950538,-0.0229653109030849,0.00252102346853457,-2.42124006510328e-05,-4,1977,1,20,1526.8,1526.7,1.01562,2.61353,1.54785,2.2998,1.34644,2.30713,33.2887,15.8482,18,495.733,408.563,24.7963,26.237,30.0003,26.2695,26.2184,20.3483,25.5543,61.3389,24.8876,420,19.1336,102.435,102.926,7
