"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_hum","AccCO2_soda","CO2_hrs","AccH2O_des","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","week"
1,1664313324,0,2022-09-27 16:15:24,16:15:24,5,"a_y_280_100","ozzie",1664313321,0.00042851823312397,0.428518233123978,-3.34215465413858,423.491186014396,623.234861411978,56.5605453276997,38.4331716749313,0.0250831222463828,2.75725849495249,0.0249570412066186,0.0156094256788284,0.00015962074799999,25.6430398146507,25.6430398146507,3.30363966216893,53.7779900242455,1.78910818317205,3.32684092946844,1.51453147899688,-18.8976540807674,17.5414581241483,1.35523312973716,-0.00080320613398043,-3.34830017001555,0.428709147590141,-3.34215465413858,427.912744467829,432.001387878788,-8.24777456828337e-05,64.9723317447641,0.428518233123978,19.2100725227315,19.7140690909091,-2.25560140160987e-06,128.467998699946,4,1,1,0,47876,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664313321,423.491181818182,419.691909090909,19.714,19.2098,416.926272727273,19.3296636363636,500.108181818182,90.6530636363636,0.100115990909091,25.7610454545455,25.0558090909091,999.9,0,0,9981.64818181818,0,0.220656,3.79928727272727,432.007818181818,427.912181818182,0.504210363636364,419.691909090909,19.2098,1.78713454545455,1.74142636363636,15.6747181818182,15.2707090909091,0.00100013,0,0,0,877.818181818182,0.00100013,-23.6363636363636,-3.31818181818182,35.7894545454545,40.2781818181818,37.6927272727273,41.6135454545455,38.312,0,0,0,1664313312,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.79169097560976,0.142493937282236,0.0399504641326486,0,0.512092170731707,-0.0595627526132407,0.00591608321278586,1,1,2,"1/2",2.97461,2.75374,0.0914652,0.092068,0.0901588,0.0897443,35482.5,38681.1,35385.9,38631.5,45628.8,50767.3,55281,61938.9,1.99277,1.86033,0.0579283,0,24.1079,999.9,55.628,28.5,23.9752,60.9726,44.8638,1,-0.144339,-0.475899,20.1669,5.20381,12.0073,4.97575,3.2935,9999,9999,717.6,9999,1.86284,1.86772,1.86752,1.86874,1.86952,1.86555,1.86662,1.86802,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.565,0.3843,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,148.5,148.4,1.01685,2.6062,1.54785,2.30347,1.34644,2.33276,32.0684,15.0426,18,494.993,410.492,25.4332,25.4236,29.9998,25.4853,25.4399,20.3742,27.0213,66.2721,25.3773,419.7,19.3698,102.572,103.114,7
2,1664313329,5,2022-09-27 16:15:29,16:15:29,5,"a_y_280_100","ozzie",1664313326.5,0.00041315272890467,0.413152728904675,-3.35622728987025,423.457448630588,632.205464827209,57.3740334133293,38.4296928111731,0.0241534218046488,2.75472650858843,0.0240363834572551,0.0150332076936489,0.00015962074799999,25.6527402625992,25.6527402625992,3.30554153521529,53.7696961791573,1.7894225320635,3.32793870752264,1.5161190031518,-18.2200353446962,16.9112803194039,1.30784746448913,-0.00074794005516309,-3.38289842279701,0.396289653154651,-3.35622728987025,427.827492156122,431.936315151515,-0.00065692858553379,64.9723317447641,0.413152728904675,19.2387494570915,19.72466,-3.73324234843967e-07,128.467998699946,4,1,1,0,48265,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664313326.5,423.457444444444,419.600111111111,19.7176777777778,19.2516,416.892555555556,19.3331555555556,500.099888888889,90.6520777777778,0.100116888888889,25.7666111111111,25.0671333333333,999.9,0,0,9966.81,0,0.220656,3.85712444444444,431.974888888889,427.836777777778,0.466084555555556,419.600111111111,19.2516,1.78744777777778,1.74519666666667,15.6774555555556,15.3043777777778,0.00100013,0,0,0,876,0.00100013,-10.9444444444444,0.222222222222222,35.812,40.312,37.75,41.687,38.319,0,0,0,1664313316.8,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.81934125,0.083025703564712,0.0350725949415994,1,0.500567575,-0.147895440900563,0.017951309901909,0,1,2,"1/2",2.97458,2.75364,0.0914554,0.0920579,0.0902062,0.0899965,35483.1,38681.6,35386.1,38631.5,45626.7,50753.3,55281.4,61938.9,1.99303,1.86055,0.058651,0,24.1141,999.9,55.653,28.48,23.9568,60.7726,45.5609,1,-0.144507,-0.413282,20.1671,5.20381,12.0059,4.9757,3.29343,9999,9999,717.6,9999,1.86284,1.86772,1.86752,1.86873,1.86951,1.86556,1.86661,1.86803,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.565,0.3849,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,148.6,148.5,1.01685,2.59766,1.54785,2.30347,1.34644,2.41943,32.0684,15.0514,18,495.121,410.59,25.3805,25.4215,29.9999,25.4815,25.4363,20.3806,26.7353,66.2721,25.3092,419.7,19.3884,102.572,103.114,7
3,1664313334,10,2022-09-27 16:15:34,16:15:34,5,"a_y_280_100","ozzie",1664313331.2,0.0004374347178364,0.437434717836409,-3.40890481434673,423.436504232214,622.793780209039,56.5199248449675,38.4278073358209,0.0256351928091277,2.76399692363943,0.0255038356619992,0.0159516429692949,0.00015962074799999,25.6486622360457,25.6486622360457,3.30474187948043,53.836779416072,1.79189281321592,3.32838039840285,1.51284906626452,-19.2908710565856,17.9094914530899,1.38038675720061,-0.00083322554711884,-3.37252940773045,0.355156353346293,-3.40890481434673,427.828161647249,431.996296969697,0.00051596320396116,64.9723317447641,0.437434717836409,19.3187533158704,19.7649975757576,0.00727948983307161,128.467998699946,4,1,1,0,48224,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664313331.2,423.4365,419.5706,19.74489,19.32719,416.8719,19.35917,500.0869,90.65244,0.09979074,25.76885,25.07989,999.9,0,0,10021.558,0,0.220656,3.865871,431.9655,427.8395,0.4176875,419.5706,19.32719,1.789923,1.752057,15.69903,15.36549,0.00100013,0,0,0,861.15,0.00100013,-13.05,-1.3,35.812,40.3435,37.75,41.7437,38.375,0,0,0,1664313321.6,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.82402926829268,0.287779024390242,0.0386157378753757,0,0.481121146341463,-0.318549700348431,0.034999801006097,0,0,2,"0/2",2.97447,2.75411,0.0914592,0.0920559,0.0903391,0.0902568,35482.9,38681.3,35386,38631.1,45619.6,50738.4,55281,61938.6,1.99285,1.86092,0.0583827,0,24.1202,999.9,55.653,28.5,23.9844,60.4526,45.2684,1,-0.144489,-0.336988,20.1675,5.20336,12.0067,4.97565,3.29378,9999,9999,717.6,9999,1.86285,1.86773,1.86751,1.86871,1.86951,1.86554,1.86661,1.86801,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.564,0.3868,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,148.7,148.6,1.01685,2.60742,1.54785,2.30225,1.34644,2.41089,32.0684,15.0514,18,494.976,410.776,25.315,25.4193,29.9999,25.4781,25.433,20.3827,26.7353,66.2721,25.229,419.7,19.3781,102.572,103.113,7
4,1664313339,15,2022-09-27 16:15:39,16:15:39,5,"a_y_280_100","ozzie",1664313336.5,0.00043642427316325,0.436424273163258,-3.28418877700172,423.401004091576,614.99212697978,55.8123095023715,38.4248624450291,0.025647218248937,2.7595257731022,0.0255155263238228,0.0159589794514806,0.00015962074799999,25.6491206524744,25.6491206524744,3.30483176142174,53.9648881983542,1.79619520823893,3.32845164366283,1.5086365531828,-19.2463104464997,17.8660440894436,1.37927485720041,-0.00083187910767534,-3.29062286529913,0.351748750733793,-3.28418877700172,427.914122495441,431.93363030303,-0.00030861962754402,64.9723317447641,0.436424273163258,19.3777683738254,19.8083927272727,0.00881526691294823,128.467998699946,4,1,1,0,48184,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664313336.5,423.401,419.631777777778,19.7921555555556,19.3785,416.836333333333,19.4043444444444,500.107222222222,90.6528,0.100084555555556,25.7692111111111,25.0776666666667,999.9,0,0,9995.07222222222,0,0.220656,3.76908333333333,431.950111111111,427.924222222222,0.413662,419.631777777778,19.3785,1.79421444444444,1.75671555555556,15.7364777777778,15.4068666666667,0.00100013,0,0,0,864.611111111111,0.00100013,-11.3888888888889,0.944444444444444,35.875,40.375,37.7706666666667,41.812,38.3887777777778,0,0,0,1664313327,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.82828024390244,0.0784308710801473,0.0450964342048159,1,0.456131634146341,-0.400402390243902,0.0417139912544741,0,1,2,"1/2",2.97467,2.75393,0.0914531,0.0920794,0.0904751,0.0902988,35483.1,38680.8,35385.9,38631.5,45613,50736.3,55281.5,61938.9,1.99297,1.86082,0.0577383,0,24.1276,999.9,55.653,28.48,23.957,60.7026,44.8598,1,-0.144769,-0.237917,20.1677,5.20276,12.0058,4.9757,3.2937,9999,9999,717.6,9999,1.86283,1.86768,1.86752,1.8687,1.86951,1.86554,1.86661,1.86799,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.564,0.3887,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,148.8,148.6,1.01807,2.60742,1.54785,2.30225,1.34644,2.31079,32.0684,15.0426,18,495.025,410.693,25.2378,25.4173,29.9999,25.4746,25.4295,20.3843,26.7353,66.2721,25.1516,419.7,19.3579,102.572,103.114,7
5,1664313344,20,2022-09-27 16:15:44,16:15:44,5,"a_y_280_100","ozzie",1664313341.2,0.00043105499264328,0.431054992643284,-3.40409308727895,423.442104248902,624.782136499258,56.700703754591,38.4285399783772,0.0253665120385462,2.76061296263596,0.0252377296914079,0.0157850970100916,0.00015962074799999,25.6525005360974,25.6525005360974,3.30549452283392,54.0446767337779,1.79904915058652,3.32881841341854,1.50644537224739,-19.0095251755688,17.6467130000861,1.36184160151641,-0.00081095321833046,-3.28071746654773,0.374382900395774,-3.40409308727895,427.990246605126,432.052818181818,0.0216049111349244,64.9723317447641,0.431054992643284,19.383207528123,19.8344066666667,0.00594653172290012,128.467998699946,4,1,1,0,48063,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664313341.2,423.4421,419.6961,19.82363,19.38335,416.8775,19.43441,500.0835,90.6528,0.09996075,25.77107,25.07562,999.9,0,0,10001.499,0,0.229896,3.745818,432.0058,427.9919,0.4403036,419.6961,19.38335,1.797066,1.757153,15.76128,15.41076,0.00100013,0,0,0,868.7,0.00100013,-20.5,-1.75,35.875,40.4184,37.812,41.8561,38.4308,0,0,0,1664313331.8,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.81275073170732,-0.428178815331006,0.0647805915074104,0,0.439374341463415,-0.202313184668988,0.0315502809408154,0,0,2,"0/2",2.97471,2.75403,0.091469,0.0920752,0.0905513,0.0903112,35482.8,38681,35386.2,38631.6,45609.1,50735.9,55281.4,61939.2,1.99305,1.8606,0.0578612,0,24.1337,999.9,55.653,28.48,23.9564,60.8626,45.02,1,-0.145091,-0.189167,20.1678,5.20291,12.0073,4.9757,3.29385,9999,9999,717.6,9999,1.86287,1.8677,1.8675,1.86871,1.86951,1.86555,1.86662,1.86804,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.565,0.3897,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,148.8,148.7,1.01685,2.60742,1.54785,2.30225,1.34644,2.25464,32.0684,15.0339,18,495.044,410.539,25.1554,25.4153,29.9999,25.4713,25.4257,20.3846,26.7353,66.2721,25.0753,419.7,19.3552,102.573,103.114,7
6,1664313349,25,2022-09-27 16:15:49,16:15:49,5,"a_y_280_100","ozzie",1664313346.5,0.00039834716210832,0.398347162108324,-3.36955650279526,423.504004202814,639.937049182503,58.0758621908255,38.4340306859325,0.0234381553780797,2.76099623027698,0.0233281781766085,0.0145899492392617,0.00015962074799999,25.6590969766936,25.6590969766936,3.30678835337155,54.1027766946752,1.80072545943826,3.32834203612231,1.50606289393329,-17.5671098489771,16.3078852621087,1.25837258601236,-0.00069238010807382,-3.34796738891497,0.387758368050018,-3.36955650279526,427.987743429923,432.09616969697,0.00297092901762635,64.9723317447641,0.398347162108324,19.385679779122,19.8472987878788,0.00072656514645844,128.467998699946,4,1,1,0,48086,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664313346.5,423.504,419.684333333333,19.8421666666667,19.3861888888889,416.939,19.4521,500.109111111111,90.6524444444445,0.1000167,25.7686555555556,25.0837777777778,999.9,0,0,10003.8044444444,0,0.221269,3.81963555555556,432.077111111111,427.981111111111,0.455973666666667,419.684333333333,19.3861888888889,1.79874,1.75740555555556,15.7758444444444,15.4129888888889,0.00100013,0,0,0,873.777777777778,0.00100013,-14.0555555555556,0.666666666666667,35.8818888888889,40.437,37.812,41.9232222222222,38.444,0,0,0,1664313336.6,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.80209170731707,-0.190110104529613,0.0604361305641987,0,0.431703804878049,0.147075930313589,0.0193326726846719,0,0,2,"0/2",2.97455,2.75391,0.0914738,0.0920733,0.0905902,0.0903217,35482.8,38681.4,35386.4,38631.8,45607.3,50735.6,55281.7,61939.5,1.99312,1.86057,0.0574738,0,24.1398,999.9,55.653,28.48,23.9566,61.0526,45.5569,1,-0.145175,-0.150945,20.1677,5.20306,12.0064,4.97565,3.29355,9999,9999,717.6,9999,1.86285,1.86769,1.8675,1.86872,1.86952,1.86555,1.86661,1.86801,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.565,0.3903,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,148.9,148.8,1.01685,2.59888,1.54785,2.30347,1.34644,2.4292,32.0464,15.0514,18,495.063,410.5,25.076,25.4131,29.9999,25.4681,25.4224,20.3851,26.7353,66.2721,24.9915,419.7,19.3552,102.573,103.115,7
7,1664313354,30,2022-09-27 16:15:54,16:15:54,5,"a_y_280_100","ozzie",1664313351.2,0.00039909902335141,0.399099023351416,-3.31071181771629,423.4716041232,635.329262893991,57.6573380508938,38.430852881964,0.0235024421815,2.75928353286274,0.0233917941035792,0.0146297690615682,0.00015962074799999,25.6568912338106,25.6568912338106,3.30635566817436,54.1342653179442,1.80156679788978,3.32796018807815,1.50478887028458,-17.6002669297974,16.3379618368482,1.26144968229922,-0.00069578990202145,-3.31505246801846,0.39338036026121,-3.31071181771629,427.990053965976,432.043284848485,-0.00057962072008838,64.9723317447641,0.399099023351416,19.3886831151853,19.8549484848485,0.00032418583619376,128.467998699946,4,1,1,0,48207,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664313351.2,423.4716,419.6943,19.85156,19.38898,416.9068,19.46108,500.1139,90.65188,0.1000205,25.76672,25.08427,999.9,0,0,9993.742,0,0.220656,3.777165,432.0482,427.9928,0.4625684,419.6943,19.38898,1.799579,1.757648,15.78316,15.41514,0.00100013,0,0,0,866.2,0.00100013,-12.3,-0.15,35.9122,40.4433,37.8561,41.9811,38.4874,0,0,0,1664313342,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.78887682926829,-0.0457590940766565,0.0552178229197353,1,0.43865987804878,0.21384194425087,0.0218337687385067,0,1,2,"1/2",2.97439,2.75385,0.0914675,0.0920755,0.0906155,0.0903311,35482.9,38681.4,35386.3,38632,45605.7,50735.3,55281.4,61939.9,1.9932,1.86052,0.0574216,0,24.1453,999.9,55.677,28.48,23.9687,60.9426,45.3205,1,-0.145432,-0.0862963,20.1678,5.20366,12.0049,4.97575,3.29363,9999,9999,717.6,9999,1.86285,1.86771,1.8675,1.86872,1.86951,1.86554,1.86661,1.86803,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.565,0.3906,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,149,148.9,1.01685,2.60254,1.54785,2.30225,1.34644,2.44019,32.0464,15.0514,18,495.078,410.445,24.9938,25.411,29.9999,25.4645,25.4188,20.386,26.7353,66.2721,24.9066,419.7,19.3552,102.573,103.116,7
8,1664313359,35,2022-09-27 16:15:59,16:15:59,5,"a_y_280_100","ozzie",1664313356.5,0.0004005269107634,0.400526910763401,-3.28676112384389,423.435670770959,632.605329194767,57.4099080685874,38.4274393686572,0.023619341650588,2.76191071588448,0.0235076987038654,0.0147022982555866,0.00015962074799999,25.6498084160115,25.6498084160115,3.30496661557207,54.1762813037502,1.80223988189388,3.32662161101323,1.50272673367819,-17.663236764666,16.3976145621534,1.26476306668205,-0.00069951508257659,-3.31341579455311,0.396503501641139,-3.28676112384389,427.968178613405,431.996387878788,-0.00142712337093347,64.9723317447641,0.400526910763401,19.3921987446001,19.861986060606,0.00013024216719204,128.467998699946,4,1,1,0,48004,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664313356.5,423.435666666667,419.661666666667,19.8590555555556,19.3927777777778,416.871111111111,19.4682555555556,500.083,90.6516555555556,0.0998848111111111,25.7599333333333,25.0793333333333,999.9,0,0,10009.3,0,0.220656,3.77395666666667,432.015111111111,427.961111111111,0.466271,419.661666666667,19.3927777777778,1.80025666666667,1.75799111111111,15.7890222222222,15.4181666666667,0.00100013,0,0,0,862.166666666667,0.00100013,-3.05555555555556,0.388888888888889,35.937,40.5,37.875,42.0137777777778,38.5,0,0,0,1664313346.8,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.77286536585366,0.153850662020904,0.0424533236997863,0,0.453254609756098,0.122832961672475,0.0129533991073029,0,0,2,"0/2",2.97455,2.75378,0.0914624,0.09207,0.09064,0.090346,35483.1,38682.1,35386.3,38632.4,45604.7,50734.8,55281.6,61940.3,1.99308,1.8605,0.0556,0,24.1494,999.9,55.677,28.48,23.968,61.2526,45.0962,1,-0.1456,-0.0294581,20.1664,5.20351,12.0058,4.9757,3.2938,9999,9999,717.6,9999,1.86284,1.86769,1.86751,1.86873,1.86951,1.86554,1.86661,1.86802,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.564,0.391,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,149.1,149,1.01807,2.60376,1.54785,2.30225,1.34644,2.41455,32.0464,15.0426,18,494.968,410.404,24.9091,25.4092,30,25.4613,25.4151,20.3878,26.7353,66.2721,24.829,419.7,19.3552,102.573,103.116,7
9,1664313364,40,2022-09-27 16:16:04,16:16:04,5,"a_y_280_100","ozzie",1664313361.2,0.00039920057899425,0.399200578994252,-3.35761351099561,423.448204188491,637.908987127706,57.8915632031959,38.4288024949087,0.0235644668376908,2.76100688328102,0.0234533045385452,0.0146682589946557,0.00015962074799999,25.6450360021487,25.6450360021487,3.30403095721856,54.2093501777603,1.80279447509872,3.32561535821237,1.50123648211984,-17.6047455336465,16.3429906311839,1.26089998757012,-0.00069529414446023,-3.34217076524457,0.397233088316057,-3.35761351099561,427.936083389527,432.041975757576,0.00047250265747082,64.9723317447641,0.399200578994252,19.3982579761385,19.8666757575758,0.00010939382598896,128.467998699946,4,1,1,0,48079,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664313361.2,423.4482,419.6401,19.86505,19.39792,416.8834,19.47397,500.0861,90.65224,0.09983337,25.75483,25.05653,999.9,0,0,10003.89,0,0.220656,3.807899,432.0306,427.9415,0.4671394,419.6401,19.39792,1.800813,1.758465,15.79384,15.42238,0.00100013,0,0,0,860.95,0.00100013,-14.55,-2.8,35.937,40.3748,37.8435,41.8123,38.4623,0,0,0,1664313351.6,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.79309243902439,-0.0284232752613252,0.0281459001719644,1,0.461497048780488,0.0570952264808369,0.00606946966763991,1,2,2,"2/2",2.97466,2.75382,0.091468,0.0920762,0.0906529,0.0903447,35483,38681.4,35386.4,38632,45604,50734.8,55281.6,61940.2,1.99295,1.86097,0.0544563,0,24.1534,999.9,55.677,28.48,23.9674,60.6926,45.1202,1,-0.145622,-0.00479847,20.1657,5.20351,12.0049,4.9754,3.29365,9999,9999,717.6,9999,1.86285,1.86771,1.86752,1.8687,1.86951,1.86556,1.86662,1.86801,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.565,0.3911,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,149.2,149.1,1.01807,2.61353,1.54785,2.30347,1.34644,2.24731,32.0464,15.0251,18,494.857,410.645,24.8279,25.4076,30,25.4581,25.4119,20.3889,26.7353,65.9012,24.7742,419.7,19.3552,102.573,103.116,7
10,1664313369,45,2022-09-27 16:16:09,16:16:09,5,"a_y_280_100","ozzie",1664313366.5,0.00041435473547772,0.414354735477728,-3.31502103287862,423.455115239621,626.615541049345,56.8671249274413,38.4297441764203,0.0244971699845352,2.76192289374075,0.0243770975562019,0.0152464248193192,0.00015962074799999,25.6345837277283,25.6345837277283,3.30198253886941,54.2291494490437,1.80277746487808,3.32436979593798,1.49920507399133,-18.2730438345678,16.9638770519403,1.30825856977913,-0.00074859210042177,-3.32900123140888,0.425766449077279,-3.31502103287862,427.971612365045,432.028478787879,-0.00023851144315457,64.9723317447641,0.414354735477728,19.3728940375631,19.8602418181818,-1.04731859013201e-05,128.467998699946,4,1,1,0,48133,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664313366.5,423.455111111111,419.677444444444,19.8647,19.3640333333333,416.890333333333,19.4736333333333,500.103666666667,90.6528111111111,0.100004933333333,25.7485111111111,25.0550555555556,999.9,0,0,10009.2444444444,0,0.231075888888889,3.77745222222222,432.037444444444,427.964666666667,0.500669,419.677444444444,19.3640333333333,1.80079111111111,1.75540444444444,15.7936666666667,15.3952444444444,0.00100013,0,0,0,866.611111111111,0.00100013,-1.61111111111111,1.83333333333333,35.9025555555556,40.1595555555555,37.743,41.4581111111111,38.3191111111111,0,0,0,1664313357,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,3.78912048780488,-0.0449517073170734,0.0278169131698438,1,0.470194585365854,0.10038781881533,0.0130359443322283,0,1,2,"1/2",2.9744,2.75392,0.0914669,0.0920764,0.0906271,0.090168,35483.1,38682.1,35386.4,38632.7,45605.4,50745.3,55281.7,61940.9,1.9931,1.86057,0.0546761,0,24.1575,999.9,55.677,28.48,23.9678,60.6126,45.625,1,-0.145777,-0.0599129,20.1658,5.20366,12.0052,4.97565,3.29373,9999,9999,717.6,9999,1.86283,1.86769,1.86751,1.86871,1.86951,1.86555,1.86661,1.86803,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.565,0.3907,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,149.2,149.1,1.01807,2.60498,1.54785,2.30347,1.34644,2.41577,32.0464,15.0426,18,494.929,410.394,24.7633,25.406,29.9999,25.4554,25.4082,20.3915,26.7353,65.9012,24.7191,419.7,19.3552,102.573,103.117,7
