"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_des","AccCO2_soda","CO2_hrs","AccH2O_hum","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","week"
26,1663787904.6,407,2022-09-21 14:18:24,14:18:24,5,"a_n_140_126","ozzie",1663787902.1,0.0007927053380556,0.792705338055609,-3.75351107130176,423.831560259101,540.716674151303,48.9241151866642,38.3483348398789,0.04651817013904,2.75188624688194,0.0460856943450483,0.0288420799871596,0.00015962074799999,25.6221316041595,25.6221316041595,3.29954364178608,53.460396645651,1.78696950604783,3.34260427937398,1.51257413573825,-34.9583054082524,32.4432241541352,2.51216250430312,-0.00275912906600694,-3.53078955733936,0.787896986595618,-3.75351107130176,428.045840864484,432.457533333333,0.0375962647397628,65.3080441407109,0.792705338055609,18.822312340197,19.7534042424242,0.00014773030325827,119.397593998355,0,0,1,0,47977,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787902.1,423.831555555555,419.995666666667,19.7498555555556,18.8231333333333,417.325888888889,19.4566,500.043777777778,90.3801111111111,0.100019288888889,25.8408111111111,25.0744,999.9,0,0,9980,0,0.232914666666667,3.83561777777778,432.370555555556,428.053222222222,0.926721777777778,419.995666666667,18.8231333333333,1.78499444444444,1.70123666666667,15.6559777777778,14.9077222222222,0.00100013,0,0,0,766.444444444444,0.00100013,-15.2777777777778,-0.666666666666667,35.6456666666667,39.7288888888889,37.3818888888889,40.4373333333333,37.833,0,0,0,1663787902,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.81828675,0.170952157598483,0.0909941364151422,0,0.9165899,0.0786499587242019,0.00798565524800563,1,1,2,"1/2",2.97455,2.75397,0.0909738,0.0915677,0.0900392,0.0879342,35423.8,38591.7,35315.5,38528.9,45570.2,50753.2,55201.2,61798.9,1.9814,1.8194,0.0436902,0,24.3692,999.9,46.777,30.978,23.3186,60.9642,47.7604,1,-0.040935,0.178802,20.1323,5.20291,12.0099,4.976,3.294,9999,9999,706.3,9999,1.86356,1.86829,1.86801,1.86923,1.87012,1.86615,1.86716,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.505,0.2931,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51837.6,51837.6,1.01807,2.63306,1.54785,2.30103,1.34644,2.38281,35.5683,23.9737,18,498.951,396.86,25.3879,26.7116,29.9998,26.7356,26.6819,20.3984,23.7065,32.9789,25.3368,420,18.8418,102.402,102.865,6
27,1663787909.6,412,2022-09-21 14:18:29,14:18:29,5,"a_n_140_126","ozzie",1663787906.8,0.00078909826450696,0.789098264506961,-3.60055581355432,423.844204511596,536.173810239529,48.5127530887733,38.3492234213992,0.0462557768182274,2.76184282853549,0.0458296682912874,0.028681499574474,0.00015962074799999,25.6309551664677,25.6309551664677,3.30127167928404,53.4446904244161,1.78719596511135,3.34401032341815,1.51407571417269,-34.799233464757,32.3038089865036,2.49254893850318,-0.00271591900212797,-3.57182316805109,0.788397022186774,-3.60055581355432,428.023096839563,432.410824242424,0.00321640256728444,65.3080441407109,0.789098264506961,18.8255134329942,19.7534587878788,1.71055703705083e-05,119.397593998355,0,0,1,0,47698,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787906.8,423.8442,419.9595,19.75249,18.82522,417.3385,19.45912,500.0642,90.37984,0.09968765,25.84791,25.08409,999.9,0,0,10039,0,0.2316888,3.884597,432.3849,428.017,0.9272654,419.9595,18.82522,1.785227,1.701421,15.65802,14.90939,0.00100013,0,0,0,766.85,0.00100013,-11.9,-1.25,35.6124,39.581,37.2935,40.2185,37.7624,0,0,0,1663787906.8,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.8382115,0.158115196998111,0.086860599887118,0,0.921899525,0.0534548780487784,0.00586392486303968,1,1,2,"1/2",2.9737,2.75452,0.091006,0.0915567,0.0900585,0.0879705,35423.2,38592.9,35316,38529.6,45569.9,50752.1,55202.1,61800,1.981,1.8202,0.0442863,0,24.3753,999.9,46.777,30.978,23.3193,60.3742,47.9287,1,-0.0409959,0.286667,20.1326,5.20291,12.0076,4.9756,3.294,9999,9999,706.3,9999,1.86356,1.86829,1.86801,1.86923,1.87009,1.86615,1.86716,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.507,0.2933,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51837.7,51837.7,1.01807,2.63306,1.54785,2.30103,1.34644,2.4231,35.5683,23.9737,18,498.639,397.252,25.3056,26.7048,29.9998,26.7297,26.6757,20.4007,23.4307,32.9789,25.2548,420,18.9539,102.403,102.867,6
28,1663787914.6,417,2022-09-21 14:18:34,14:18:34,5,"a_n_140_126","ozzie",1663787912.1,0.00077342771070979,0.773427710709792,-3.28034038002843,423.827781893719,527.514154336949,47.7283154173627,38.3470014795919,0.0452936540456871,2.75465907091224,0.0448839475424359,0.0280889687186472,0.00015962074799999,25.6385284305021,25.6385284305021,3.30275548440174,53.4425493058267,1.78752447833053,3.34475900111233,1.51523100607121,-34.1081620423018,31.6562848474242,2.44909573460323,-0.0026218395263875,-3.50423066830593,0.769949942575475,-3.28034038002843,428.17460253292,432.307890909091,-0.0256693136422668,65.3080441407109,0.773427710709792,18.8524706606224,19.7609290909091,0.00013503381711161,119.397593998355,0,0,1,0,47835,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787912.1,423.827777777778,420.014888888889,19.7565,18.8509555555556,417.322444444444,19.4629666666667,500.078222222222,90.3777222222222,0.1000688,25.8516888888889,25.0958444444444,999.9,0,0,9996.66666666667,0,0.232914666666667,3.81284888888889,432.37,428.084777777778,0.905543888888889,420.014888888889,18.8509555555556,1.78554777777778,1.70370555555556,15.6608333333333,14.9302444444444,0.00100013,0,0,0,764.055555555556,0.00100013,-13.2777777777778,-1.61111111111111,35.562,39.4164444444445,37.194,39.9651111111111,37.6732222222222,0,0,0,1663787912.2,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.83525,0.136804727954963,0.0890555155506945,0,0.9215535,-0.0275816735459654,0.00741218609790661,1,1,2,"1/2",2.97396,2.75382,0.0910044,0.0915337,0.0900939,0.0881751,35423.5,38594.6,35316.2,38530.3,45568.8,50741.3,55202.9,61800.7,1.9824,1.8198,0.043869,0,24.381,999.9,46.777,30.978,23.3215,60.5642,48.0288,1,-0.0419919,0.422331,20.1322,5.20291,12.0064,4.9756,3.294,9999,9999,706.3,9999,1.86353,1.86829,1.86798,1.86926,1.87009,1.86615,1.86719,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.507,0.2938,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51837.8,51837.8,1.01807,2.63428,1.54785,2.2998,1.34644,2.43164,35.5683,23.9737,18,499.507,397.001,25.2163,26.6989,29.9993,26.7243,26.6707,20.4011,23.1423,32.9789,25.16,420,18.988,102.405,102.869,6
29,1663787919.6,422,2022-09-21 14:18:39,14:18:39,5,"a_n_140_126","ozzie",1663787916.8,0.00078459290368528,0.784592903685287,-3.60347078555303,423.82820450269,536.871549592472,48.5741706829256,38.3464230156707,0.0460312460260734,2.75680173975589,0.0456084798308286,0.0285429600315946,0.00015962074799999,25.6351182635829,25.6351182635829,3.30208726934202,53.5012619240968,1.7894364486023,3.34466213365398,1.51265082073972,-34.6005470525212,32.1150822551436,2.4826110085513,-0.00269416807825706,-3.54929929216945,0.720241485039028,-3.60347078555303,428.058075550425,432.43483030303,0.00641398018823567,65.3080441407109,0.784592903685287,18.9448446752866,19.7966696969697,0.00817495631780699,119.397593998355,0,0,1,0,47972,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787916.8,423.8282,419.9357,19.77795,18.93083,417.3227,19.48351,500.0448,90.37639,0.09994595,25.8512,25.09455,999.9,0,0,10009.5,0,0.2316888,3.892527,432.3799,428.0389,0.8471388,419.9357,18.93083,1.78746,1.710902,15.67757,14.99567,0.00100013,0,0,0,757.6,0.00100013,-11.4,-0.05,35.4998,39.2872,37.1186,39.7622,37.5998,0,0,0,1663787917,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.86429025,0.138227954971857,0.100497564037331,0,0.9052115,-0.267804135084429,0.0318124579976147,0,0,2,"0/2",2.97461,2.75384,0.0909775,0.0915625,0.0902085,0.0883649,35424.3,38593.4,35316,38530.2,45562.8,50730.5,55202.7,61800.5,1.982,1.82,0.0429451,0,24.3852,999.9,46.777,30.978,23.322,60.6942,47.9567,1,-0.0415854,0.510087,20.1318,5.20291,12.0099,4.9756,3.294,9999,9999,706.3,9999,1.8635,1.86829,1.86801,1.8692,1.87009,1.86612,1.86719,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.505,0.2954,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51837.9,51837.8,1.01807,2.62939,1.54785,2.2998,1.34644,2.41943,35.5683,23.9737,18,499.194,397.079,25.1171,26.6935,29.9998,26.7185,26.6663,20.403,23.1423,32.9789,25.064,420,18.9936,102.404,102.868,6
30,1663787924.6,427,2022-09-21 14:18:44,14:18:44,5,"a_n_140_126","ozzie",1663787922.1,0.00078979061601461,0.789790616014614,-3.53331167621715,423.832004388413,533.380222690484,48.2570415505988,38.3457761952187,0.0464544848282706,2.75252119351944,0.0460232849503665,0.0288029609963709,0.00015962074799999,25.6333728441921,25.6333728441921,3.3017453037664,53.603737806127,1.79286392062469,3.34466213365398,1.5088813831417,-34.8297661662445,32.3242260958747,2.50264259165442,-0.00273785796736092,-3.5061609517517,0.733051139746871,-3.53331167621715,428.15966250613,432.444327272727,0.00768084216637848,65.3080441407109,0.789790616014614,18.9549464639431,19.82814,0.00640562361420274,119.397593998355,0,0,1,0,48384,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787922.1,423.832,419.998111111111,19.8163444444444,18.9542666666667,417.326333333333,19.5202777777778,500.088111111111,90.3738666666667,0.100131988888889,25.8512,25.0929777777778,999.9,0,0,9984.44444444444,0,0.220656,3.83351666666667,432.400444444444,428.112888888889,0.862088666666667,419.998111111111,18.9542666666667,1.79088,1.71297222222222,15.7074222222222,15.0144666666667,0.00100013,0,0,0,757.444444444444,0.00100013,-21.5,-4.05555555555556,35.444,39.1316666666667,37.0482222222222,39.5274444444444,37.5344444444444,0,0,0,1663787921.8,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.8654145,-0.111251707317076,0.102310398004064,0,0.8879285,-0.316452022514075,0.0350564082323047,0,0,2,"0/2",2.97334,2.75317,0.0910004,0.0915582,0.0903056,0.0883825,35423.8,38593.8,35316.3,38530.4,45557.9,50730.4,55202.8,61801.6,1.9818,1.8196,0.0436604,0,24.3876,999.9,46.777,30.988,23.3344,60.7342,48.2572,1,-0.0420732,0.540741,20.1313,5.20291,12.0099,4.976,3.294,9999,9999,706.3,9999,1.86346,1.86829,1.86798,1.86923,1.87012,1.86615,1.86719,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.506,0.2967,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51837.9,51837.9,1.01807,2.63428,1.54785,2.30103,1.34644,2.44507,35.5915,23.9737,18,499.022,396.812,25.0175,26.6868,29.9997,26.714,26.66,20.4033,23.1423,32.9789,24.9742,420,18.9904,102.405,102.87,6
31,1663787929.6,432,2022-09-21 14:18:49,14:18:49,5,"a_n_140_126","ozzie",1663787926.8,0.00076204901323626,0.762049013236266,-3.47124441504352,423.836704312819,535.534440381741,48.4526193444512,38.3467372959939,0.0448313461091233,2.75517508803965,0.0444299950591872,0.0278045071214,0.00015962074799999,25.639321729075,25.639321729075,3.30291094652891,53.6683988552661,1.79482564877663,3.34428767591324,1.50808529775228,-33.6063614837193,31.1910276611364,2.41262983896963,-0.00254436286526171,-3.54287240032073,0.747802752146392,-3.47124441504352,428.120001065424,432.381357575758,-0.00340089172208384,65.3080441407109,0.762049013236266,18.9586429643106,19.8449133333333,0.00113784454927106,119.397593998355,0,0,1,0,48292,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787926.8,423.8367,419.9663,19.83775,18.95835,417.3309,19.54075,500.0919,90.3752,0.10006301,25.84931,25.0933,999.9,0,0,10000,0,0.2305855,3.870252,432.4147,428.0822,0.8793997,419.9663,18.95835,1.79284,1.713366,15.72452,15.01804,0.00100013,0,0,0,760.45,0.00100013,-23.65,-4.15,35.4122,39.0248,36.9748,39.3498,37.4622,0,0,0,1663787927.2,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.86659725,-0.0649446529080749,0.102828254142223,1,0.87509655,-0.13301583489681,0.0268884170070962,0,1,2,"1/2",2.97255,2.75382,0.0909785,0.0915558,0.0903547,0.0883988,35424.5,38594.7,35316.1,38531.1,45555.7,50729.8,55203.1,61801.9,1.9812,1.8204,0.0427961,0,24.3913,999.9,46.753,30.978,23.3114,60.8342,48.3894,1,-0.0421545,0.604946,20.1314,5.20052,12.0099,4.9752,3.294,9999,9999,706.3,9999,1.86356,1.86829,1.86804,1.86923,1.87012,1.86615,1.86722,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.506,0.2973,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51838,51838,1.01807,2.63916,1.54785,2.30103,1.34644,2.41699,35.5915,23.9737,18,498.574,397.22,24.9241,26.6809,29.9998,26.7086,26.6551,20.405,23.1423,32.9789,24.8788,420,18.99,102.405,102.871,6
32,1663787934.6,437,2022-09-21 14:18:54,14:18:54,5,"a_n_140_126","ozzie",1663787932.1,0.0007615427165581,0.761542716558107,-3.59364138057347,423.864782263815,539.833358957733,48.841592797333,38.3492993771813,0.0448631960511861,2.75188952173657,0.0444608020665046,0.0278238538607394,0.00015962074799999,25.6353848079833,25.6353848079833,3.3021394939035,53.718849514583,1.79610387522606,3.34352632540738,1.50603561867744,-33.5840338002125,31.1677168015862,2.41361081260822,-0.00254656527007313,-3.57625172102554,0.756252277183716,-3.59364138057347,428.07540962024,432.453618181818,0.00343692054762637,65.3080441407109,0.761542716558107,18.9622292002909,19.8547866666667,0.00033471916410778,119.397593998355,0,0,1,0,48158,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787932.1,423.864777777778,419.959,19.8518666666667,18.9626222222222,417.358888888889,19.5542555555556,500.136444444444,90.3752555555556,0.1000587,25.8454666666667,25.0947222222222,999.9,0,0,9980.55555555556,0,0.220656,3.90569444444444,432.449444444445,428.076333333333,0.889255222222222,419.959,18.9626222222222,1.79411777777778,1.71375111111111,15.7356444444444,15.0215555555556,0.00100013,0,0,0,754.444444444444,0.00100013,-25.0555555555556,-1.88888888888889,35.347,38.8678888888889,36.9094444444444,39.1664444444445,37.3956666666667,0,0,0,1663787932,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.882163,-0.0684531332082588,0.0919426780173386,1,0.868721925,0.127143838649154,0.0186198753666445,0,1,2,"1/2",2.97288,2.75398,0.0909927,0.091579,0.0903871,0.0884127,35424.3,38594.7,35316.4,38532.1,45553.9,50730.3,55203,61803.4,1.9824,1.82,0.0417531,0,24.3954,999.9,46.753,30.988,23.3222,60.9042,48.3133,1,-0.0426829,0.658126,20.1314,5.20411,12.0088,4.976,3.294,9999,9999,706.3,9999,1.8635,1.86829,1.86798,1.8692,1.87012,1.86615,1.86719,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.506,0.2977,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51838.1,51838.1,1.01929,2.63794,1.54785,2.30103,1.34644,2.40234,35.5915,23.9649,18,499.315,396.969,24.8285,26.6755,29.9996,26.7027,26.6507,20.4064,23.1423,32.9789,24.7844,420,18.9908,102.405,102.873,6
33,1663787939.6,442,2022-09-21 14:18:59,14:18:59,5,"a_n_140_126","ozzie",1663787936.8,0.00076481778444291,0.764817784442912,-3.55425837950098,423.864904440312,537.749612222121,48.6535606145948,38.3497009609518,0.0451171785122607,2.75375751182495,0.0447105111682965,0.0279803013021298,0.00015962074799999,25.6287666055929,25.6287666055929,3.30084299010804,53.7569915787904,1.79675670583072,3.3423684121111,1.50408628427732,-33.7284642939324,31.3034161696401,2.42232330397456,-0.00256519956970535,-3.59078798141803,0.761808121922958,-3.55425837950098,428.09882145407,432.446121212121,-5.44212879862449e-05,65.3080441407109,0.764817784442912,18.9632725049552,19.8613733333333,0.00015509305020806,119.397593998355,0,0,1,0,48068,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787936.8,423.8649,419.9439,19.85888,18.96297,417.3592,19.56097,500.0588,90.3762,0.10003561,25.83962,25.08081,999.9,0,0,9991.5,0,0.2316888,3.920955,432.4529,428.0613,0.8958937,419.9439,18.96297,1.794769,1.713801,15.74132,15.022,0.00100013,0,0,0,759.3,0.00100013,-24.05,-2.75,35.312,38.7748,36.8372,38.9935,37.3309,0,0,0,1663787936.8,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.87541675,0.156237185741086,0.0739069792505248,0,0.878446825,0.153601609756096,0.0154932942847664,0,0,2,"0/2",2.97338,2.75373,0.0909936,0.0915452,0.0904121,0.088407,35424.6,38595.9,35316.8,38531.8,45553.3,50730.5,55203.7,61803.2,1.982,1.819,0.0406206,0,24.3974,999.9,46.753,30.988,23.3232,60.8542,48.3173,1,-0.0427236,0.660523,20.1313,5.20291,12.0088,4.9756,3.294,9999,9999,706.3,9999,1.86353,1.86829,1.86798,1.8692,1.87012,1.86615,1.86719,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.506,0.298,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51838.2,51838.2,1.01929,2.6355,1.54785,2.2998,1.34644,2.40234,35.5915,23.9737,18,498.999,396.374,24.7348,26.6696,29.9999,26.6973,26.6444,20.4097,23.1423,32.9789,24.6998,420,18.991,102.406,102.873,6
34,1663787944.6,447,2022-09-21 14:19:04,14:19:04,5,"a_n_140_126","ozzie",1663787942.1,0.00076533769523478,0.765337695234787,-3.6329681000622,423.863115638163,540.12168705727,48.8683510500733,38.3496756907435,0.0452722249175336,2.75801792209325,0.044863397743679,0.0280760472681812,0.00015962074799999,25.60874718609,25.60874718609,3.29692389864377,53.8257818941618,1.79690666074298,3.33837539838485,1.50001723790079,-33.7513923598541,31.3286305928969,2.42004108930535,-0.00256105690388963,-3.52861350739387,0.762271307355715,-3.6329681000622,428.167652763408,432.508187878788,0.0214988145205449,65.3080441407109,0.765337695234787,18.9635142878245,19.862336969697,0.00012583954827887,119.397593998355,0,0,1,0,48070,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787942.1,423.863111111111,420.017555555556,19.8604666666667,18.9641555555556,417.357222222222,19.5625111111111,500.138111111111,90.3767333333333,0.0998244888888889,25.8194444444444,25.0663777777778,999.9,0,0,10016.6666666667,0,0.220656,3.84553666666667,432.451888888889,428.136777777778,0.896331777777778,420.017555555556,18.9641555555556,1.79492444444444,1.71391777777778,15.7426666666667,15.0230555555556,0.00100013,0,0,0,757.611111111111,0.00100013,-17.1111111111111,-0.944444444444444,35.236,38.6594444444444,36.7568888888889,38.8054444444444,37.2568888888889,0,0,0,1663787942.2,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.8889405,0.0118129080675331,0.0809843383917532,1,0.88855445,0.0844129530956842,0.00898322457403242,1,2,2,"2/2",2.97264,2.75384,0.0910083,0.0915787,0.0904154,0.0884167,35424.6,38595.8,35317.3,38533.1,45553.3,50731.4,55204,61805,1.9814,1.8204,0.0394881,0,24.3995,999.9,46.753,30.988,23.3212,60.4442,48.2612,1,-0.0435772,0.607124,20.1314,5.20291,12.0088,4.9756,3.294,9999,9999,706.3,9999,1.86353,1.86829,1.86804,1.86923,1.87009,1.86615,1.86722,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.506,0.298,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51838.3,51838.3,1.01807,2.63794,1.54785,2.2998,1.34644,2.37427,35.5915,23.9737,18,498.563,397.109,24.6528,26.6642,29.9996,26.6928,26.6395,20.4068,23.1423,32.9789,24.6316,420,18.9964,102.407,102.876,6
35,1663787949.6,452,2022-09-21 14:19:09,14:19:09,5,"a_n_140_126","ozzie",1663787946.8,0.00076510449356361,0.765104493563611,-3.53889674818998,423.871504460459,536.847755250707,48.5720202309334,38.3503425107085,0.0452648402048836,2.75333587997513,0.0448554575424479,0.0280711336646221,0.00015962074799999,25.6087645548592,25.6087645548592,3.29692729706943,53.8308757610134,1.79710712015741,3.33843188458574,1.49982017691202,-33.7411081661553,31.3152558270235,2.42312513425674,-0.00256758412703916,-3.55521123467877,0.763696370036686,-3.53889674818998,428.118389925673,432.456684848485,-0.00217119449083986,65.3080441407109,0.765104493563611,18.9640107873437,19.8636278787879,1.24376170315356e-05,119.397593998355,0,0,1,0,47656,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787946.8,423.8715,419.9944,19.86273,18.96466,417.3655,19.56467,500.0906,90.37625,0.10009037,25.81973,25.0545,999.9,0,0,9989,0,0.2316888,3.876956,432.4614,428.1135,0.8980629,419.9944,18.96466,1.795118,1.713956,15.74435,15.02341,0.00100013,0,0,0,757.5,0.00100013,-27.6,-2.7,35.187,38.5622,36.6996,38.6748,37.1996,0,0,0,1663787947,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.88977125,-0.110569643527205,0.0795771925927115,0,0.89422405,0.0435891782363971,0.00506026946392185,1,1,2,"1/2",2.97226,2.75385,0.0909985,0.0915963,0.0904183,0.0884199,35424.9,38594.9,35317.2,38532.9,45552.7,50731.1,55203.5,61804.9,1.9822,1.82,0.0395775,0,24.402,999.9,46.753,30.988,23.3192,60.9042,48.3413,1,-0.0443496,0.532222,20.1314,5.20291,12.0088,4.976,3.294,9999,9999,706.3,9999,1.8635,1.86829,1.86801,1.86923,1.87006,1.86615,1.86722,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.506,0.2981,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51838.4,51838.3,1.01807,2.6355,1.54785,2.2998,1.34644,2.41333,35.5915,23.9737,18,499.041,396.859,24.59,26.6584,29.9994,26.687,26.635,20.4069,23.1423,32.9789,24.5787,420,18.9985,102.406,102.876,6
