"treatment","df","coef.pnue","chisq.pnue","pval.pnue","coef.iwue","chisq.iwue","pval.iwue","coef.narea.gs","chisq.narea.gs","pval.narea.gs","coef.vcmax.gs","chisq.vcmax.gs","pval.vcmax.gs"
"(Intercept)",NA," 1.19e+01",NA,NA," 6.47e+01",NA,NA," 1.66e+00",NA,NA," 5.72e+00",NA,NA
"co2",1," 1.65e+00",18.586,"<0.001","-4.71e+00",0.078,"0.78","-1.99e-01",6.639,"0.01","-1.09e-01",0.015,"0.903"
"inoc",1,"-4.21e+00",22.792,"<0.001","-3.28e+00",0.008,"0.928"," 4.85e-01",6.729,"0.009","-1.04e-01",0.011,"0.916"
"n.trt",1,"-8.32e-03",23.161,"<0.001"," 2.44e-02",18.444,"<0.001"," 1.25e-03",21.138,"<0.001"," 5.01e-04",19.366,"<0.001"
"co2:inoc",1," 1.29e+00",0.603,"0.437"," 6.97e+00",0.754,"0.385","-1.70e-01",0.348,"0.555"," 2.35e-01",1.876,"0.171"
"co2:n.trt",1,"-1.13e-03",1.789,"0.181"," 9.31e-03",0.035,"0.851"," 2.50e-04",1.321,"0.25"," 2.59e-04",0.006,"0.937"
"inoc:n.trt",1," 9.90e-03",16.025,"<0.001"," 4.41e-03",0.039,"0.843","-1.21e-03",6.687,"0.01"," 1.83e-04",0.043,"0.835"
"co2:inoc:n.trt",1,"-3.32e-03",0.656,"0.418","-1.39e-02",0.287,"0.592"," 4.04e-04",0.271,"0.603","-4.78e-04",0.761,"0.383"
