"treatment","df","coef.narea","chisq.narea","pval.narea","coef.nmass","chisq.nmass","pval.nmass","coef.marea","chisq.marea","pval.marea","coef.chl.area","chisq.chl.area","pval.chl.area"
"(Intercept)","-"," 1.72e+00","-","-"," 3.80e-02","-","-"," 3.82e+00","-","-"," 1.46e-01","-","-"
"co2","1","-3.04e-01","151.621","<0.001","-1.40e-02","256.837","<0.001"," 2.68e-01","133.434","<0.001","-4.74e-02","59.822","<0.001"
"inoc","1","-6.21e-01","92.226","<0.001","-7.51e-03","17.799","<0.001","-1.82e-01","19.045","<0.001","-1.24e-01","157.65","<0.001"
"n.trt","1"," 1.70e-03","328.699","<0.001"," 3.79e-05","110.108","<0.001","-2.79e-05","22.359","<0.001"," 6.94e-05","195.862","<0.001"
"co2:inoc","1","-2.15e-01","4.138","0.042","-3.84e-03","2.09","0.148"," 4.44e-02","0.048","0.826"," 3.79e-02","4.413","0.036"
"co2:n.trt","1","-6.90e-04","7.287","0.007","-3.13e-05","24.063","<0.001"," 4.12e-04","7.191","0.007","-1.31e-05","5.093","0.024"
"inoc:n.trt","1"," 1.36e-03","42.048","<0.001"," 1.99e-05","11.443","0.001"," 3.40e-04","4.278","0.039"," 2.67e-04","85.121","<0.001"
"co2:inoc:n.trt","1"," 1.83e-04","0.166","0.684"," 2.16e-06","0.03","0.862","-1.59e-04","0.396","0.529","-8.72e-05","3.251","0.071"
