"treatment","df","coef.nmass","chisq.nmass","pval.nmass","coef.marea","chisq.marea","pval.marea"
"(Intercept)","-"," 3.05e-02","-","-"," 3.64e+00","-","-"
"co2","1","-1.80e-02","272.362","<0.001"," 3.04e-01","151.319","<0.001"
"inoc","1"," 7.54e-03","15.576","<0.001"," 1.81e-01","19.158","<0.001"
"n.trt","1"," 5.78e-05","106.659","<0.001"," 3.10e-04","21.44","<0.001"
"co2:inoc","1"," 3.96e-03","2.025","0.155","-3.37e-02","0.029","0.866"
"co2:n.trt","1","-2.85e-05","22.542","<0.001"," 2.80e-04","7.619","0.006"
"inoc:n.trt","1","-2.00e-05","11.137","0.001","-3.36e-04","5.022","0.025"
"co2:inoc:n.trt","1","-2.59e-06","0.041","0.839"," 1.15e-04","0.208","0.649"
