"treatment","df","coef","Chisq","P_value"
"(Intercept)","-"," 1.33e-01","-","-"
"co2","1"," 1.53e-01","146.004","<0.001"
"inoc","1"," 4.19e-01","19.32","<0.001"
"n.trt","1"," 1.90e-03","279.387","<0.001"
"co2:inoc","1"," 1.03e-01","0.007","0.934"
"co2:n.trt","1"," 2.44e-03","49.725","<0.001"
"inoc:n.trt","1","-6.90e-04","9.006","0.003"
"co2:inoc:n.trt","1","-4.95e-04","0.64","0.424"
