"treatment","df","coef.rd25","chisq.rd25","pval.rd25","coef.pnue","chisq.pnue","pval.pnue"
"(Intercept)","-"," 1.69e+00","-","-"," 7.74e+00","-","-"
"co2","1"," 4.53e-01","0.256","0.613"," 1.03e+01","300.202","<0.001"
"inoc","1"," 1.04e+00","3.094","0.079"," 4.15e+00","9.899","0.002"
"n.trt","1"," 2.86e-03","5.965","0.015"," 1.43e-03","29.696","<0.001"
"co2:inoc","1","-5.71e-01","2.563","0.109","-1.62e+00","0.944","0.331"
"co2:n.trt","1","-1.55e-03","2.675","0.102","-7.47e-03","5.359","0.021"
"inoc:n.trt","1","-2.84e-03","12.083","0.001","-9.71e-03","10.884","0.001"
"co2:inoc:n.trt","1"," 7.21e-04","0.244","0.622"," 3.05e-03","0.369","0.544"
