"treatment","df","coef.vcmax","chisq.vcmax","pval.vcmax","coef.jmax","chisq.jmax","pval.jmax","coef.jvmax","chisq.jvmax","pval.jvmax","coef.gsw","chisq.gsw","pval.gsw","coef.cica","chisq.cica","pval.cica","coef.l","chisq.l","pval.l"
"(Intercept)",NA,102.381,NA,NA,179.268,NA,NA,"1.743",NA,NA,"0.565",NA,NA,"0.696",NA,NA,"0.29",NA,NA
"co2",1,-11.668,"16.477","<0.001",-8.285,5.742,"0.017","0.144",67.236,"<0.001","0.009",6.305,"0.012","0.023",0.846,"0.358","-0.04",1.059,"0.303"
"inoc",1,-60.2,"131.881","<0.001",-98.784,115.281,"<0.001","0.179",33.861,"<0.001","-0.176",41.517,"<0.001","0.032",1.555,"0.212","-0.064",4.055,"0.044"
"n.trt",1,-0.004,"49.486","<0.001",-0.022,35.41,"<0.001","<0.001",31.352,"<0.001","<0.001",1.726,"0.189","<0.001",26.163,"<0.001","<0.001",34.274,"<0.001"
"co2:inoc",1,6.291,"<0.001","0.99",1.768,0.44,"0.507","-0.082",3.231,"0.072","-0.046",1.173,"0.279","-0.028",0.758,"0.384","0.059",3.143,"0.076"
"co2:n.trt",1,-0.009,"2.591","0.107",-0.009,1.148,"0.284","<0.001",3.871,"0.049","<0.001",2.461,"0.117","<0.001",0.04,"0.841","<0.001",0.151,"0.697"
"inoc:n.trt",1,0.139,"68.33","<0.001",0.236,64.87,"<0.001","<0.001",10.531,"0.001","<0.001",23.704,"<0.001","<0.001",0.443,"0.506","<0.001",1.936,"0.164"
"co2:inoc:n.trt",1,-0.031,"1.07","0.301",-0.04,0.57,"0.45","<0.001",0.836,"0.361","<0.001",0.063,"0.801","<0.001",0.361,"0.548","<0.001",1.44,"0.23"
