"treatment","df","coef.p.rub","chisq.p.rub","pval.p.rub","coef.p.bioe","chisq.p.bioe","pval.p.bioe","coef.p.light","chisq.p.light","pval.p.light","coef.p.photo","chisq.p.photo","pval.p.photo","coef.p.str","chisq.p.str","pval.p.str"
"(Intercept)",NA," 4.54e-01",NA,NA," 8.06e-02",NA,NA," 1.69e-01",NA,NA," 5.63e-01",NA,NA,"-3.19e+00",NA,NA
"co2",1," 3.88e-02",17.242,"<0.001"," 1.35e-02",48.45,"<0.001","-1.00e-02",0.136,"0.713"," 4.89e-02",19.829,"<0.001"," 5.81e-01",252.539,"<0.001"
"inoc",1,"-1.81e-01",27.778,"<0.001","-2.76e-02",16.584,"<0.001","-7.72e-02",145.562,"<0.001","-2.28e-01",30.058,"<0.001","-1.09e-02",10.043,"0.002"
"n.trt",1,"-2.95e-04",14.675,"<0.001","-5.68e-05",24.335,"<0.001","-3.29e-05",29.083,"<0.001","-3.63e-04",13.626,"<0.001","-7.96e-04",42.191,"<0.001"
"co2:inoc",1," 9.20e-02",4.069,"0.044"," 1.46e-02",2.504,"0.114"," 2.76e-02",1.994,"0.158"," 1.18e-01",4.237,"0.04"," 4.32e-01",11.835,"0.001"
"co2:n.trt",1," 1.01e-05",1.721,"0.19"," 3.17e-06",1.261,"0.261"," 3.95e-05",0.09,"0.764"," 2.66e-05",1.695,"0.193"," 7.48e-04",3.072,"0.08"
"inoc:n.trt",1," 4.29e-04",23.289,"<0.001"," 6.86e-05",16.774,"<0.001"," 1.66e-04",49.891,"<0.001"," 5.41e-04",24.518,"<0.001","-4.95e-05",5.455,"0.02"
"co2:inoc:n.trt",1,"-2.01e-04",2.178,"0.14","-3.49e-05",1.982,"0.159","-9.00e-05",6.8,"0.009","-2.68e-04",2.685,"0.101","-8.27e-04",4.176,"0.041"
