"treatment","df","coef.p.rub","chisq.p.rub","pval.p.rub","coef.p.bioe","chisq.p.bioe","pval.p.bioe","coef.p.light","chisq.p.light","pval.p.light","coef.p.photo","chisq.p.photo","pval.p.photo","coef.p.str","chisq.p.str","pval.p.str"
"(Intercept)","-"," 4.54e-01","-","-"," 8.06e-02","-","-"," 2.88e-02","-","-"," 5.63e-01","-","-","-3.19e+00","-","-"
"co2","1"," 3.71e-02","16.381","<0.001"," 1.33e-02","46.492","<0.001","-3.44e-03","0.113","0.737"," 4.72e-02","18.701","<0.001"," 5.75e-01","205.1","<0.001"
"inoc","1","-1.84e-01","30.202","<0.001","-2.80e-02","18.802","<0.001","-2.03e-02","148.463","<0.001","-2.32e-01","32.931","<0.001"," 2.53e-01","16.497","<0.001"
"n.trt","1","-2.93e-04","14.771","<0.001","-5.65e-05","24.414","<0.001","-1.14e-05","21.175","<0.001","-3.61e-04","13.776","<0.001","-8.16e-04","39.782","<0.001"
"co2:inoc","1"," 8.40e-02","2.288","0.13"," 1.29e-02","1.15","0.284"," 5.83e-03","1.154","0.283"," 1.07e-01","2.371","0.124"," 3.04e-01","4.025","0.045"
"co2:n.trt","1"," 2.17e-05","1.25","0.264"," 4.71e-06","0.915","0.339"," 1.08e-05","0.183","0.669"," 3.91e-05","1.187","0.276"," 7.82e-04","4.436","0.035"
"inoc:n.trt","1"," 4.31e-04","23.378","<0.001"," 6.88e-05","16.692","<0.001"," 4.36e-05","60.343","<0.001"," 5.43e-04","25.186","<0.001","-6.85e-04","11.168","0.001"
"co2:inoc:n.trt","1","-2.07e-04","2.348","0.125","-3.56e-05","2.054","0.152","-1.88e-05","4.467","0.035","-2.70e-04","2.769","0.096","-4.49e-04","0.678","0.41"
