"treatment","df","coef.nodroot","chisq.nodroot","pval.nodroot","coef.nodbio","chisq.nodbio","pval.nodbio","coef.rootbio","chisq.rootbio","pval.rootbio"
"(Intercept)","-"," 1.32e-02","-","-"," 9.41e-03","-","-"," 3.88e-01","-","-"
"co2","1"," 9.95e-02","0.01","0.921"," 1.20e-01","19.258","<0.001"," 4.99e-01","19.258","<0.001"
"inoc","1"," 5.45e-01","902.063","<0.001"," 5.74e-01","755.02","<0.001"," 6.83e-01","755.02","<0.001"
"n.trt","1","-5.59e-06","254.741","<0.001"," 7.71e-06","84.376","<0.001"," 3.82e-03","84.376","<0.001"
"co2:inoc","1","-1.42e-01","21.632","<0.001","-4.68e-02","0.95","0.33","-8.33e-02","0.95","0.33"
"co2:n.trt","1","-1.74e-04","1.59","0.207","-1.59e-04","2.106","0.147"," 5.17e-03","2.106","0.147"
"inoc:n.trt","1","-7.51e-04","132.463","<0.001","-5.82e-04","44.622","<0.001","-1.03e-03","44.622","<0.001"
"co2:inoc:n.trt","1"," 1.82e-04","2.481","0.115"," 7.26e-05","0.196","0.658","-1.79e-03","0.196","0.658"
