"treatment","df","coef.pnue","chisq.pnue","pval.pnue","coef.iwue","chisq.iwue","pval.iwue","coef.narea.gs","chisq.narea.gs","pval.narea.gs","coef.vcmax.gs","chisq.vcmax.gs","pval.vcmax.gs"
"(Intercept)","-"," 1.08e+02","-","-"," 5.76e+01","-","-"," 2.09e+00","-","-"," 5.54e+00","-","-"
"co2","1"," 3.52e+01","15.508","<0.001"," 3.77e+00","0.044","0.834","-3.54e-01","4.864","0.027"," 2.18e-01","0.071","0.791"
"inoc","1"," 5.81e+01","20.176","<0.001"," 7.09e+00","0.567","0.451","-4.29e-01","3.721","0.054"," 1.80e-01","0.104","0.747"
"n.trt","1"," 2.00e-02","23.564","<0.001"," 3.67e-02","20.525","<0.001"," 1.61e-04","22.256","<0.001"," 8.44e-04","19.765","<0.001"
"co2:inoc","1","-1.22e+01","0.189","0.664","-8.49e+00","0.888","0.346"," 1.55e-01","0.186","0.666","-3.24e-01","2.729","0.099"
"co2:n.trt","1","-4.76e-02","1.028","0.311","-6.69e-03","0.028","0.866"," 6.37e-04","1.049","0.306","-4.07e-04","0.026","0.873"
"inoc:n.trt","1","-1.36e-01","17.117","<0.001","-1.27e-02","0.129","0.72"," 1.09e-03","4.757","0.029","-3.45e-04","0.016","0.9"
"co2:inoc:n.trt","1"," 3.24e-02","0.309","0.578"," 1.63e-02","0.347","0.556","-3.87e-04","0.219","0.64"," 6.56e-04","1.267","0.26"
