id,type,sample.weight,n.retention.time,n.response,n.rb,n.weight.mg,n.weight.percent,n.peaktype,n.element.name,c.retention.time,c.response,c.rb,c.weight.mg,c.weight.percent,c.peak.type,c.element.name
bypass,bypass,0,2.097,134.728,A,0.084,15.054,Ordnr,Nitrogen,3.335,2170.556,A,0.473,84.946,Ordnr,Carbon
bypass,bypass,0,2.043,83.914,A,0.053,9.524,Ordnr,Nitrogen,3.321,2297.228,A,0.501,90.476,Ordnr,Carbon
blank,blank,0,,,,,,,,,,,,,,
blank,blank,0,,,,,,,,,,,,,,
std - 0.1,standard,0.084,2.024,13.591,A,0.009,10.845,Ordnr,Nitrogen,3.4,294.805,A,0.06,71.985,Ordnr,Carbon
std - 0.25,standard,0.251,2.027,41.625,A,0.027,10.604,Ordnr,Nitrogen,3.372,868.007,A,0.185,73.894,Ordnr,Carbon
std - 0.5,standard,0.463,2.033,72.709,A,0.046,9.909,Ordnr,Nitrogen,3.347,1501.36,A,0.325,70.135,Ordnr,Carbon
std - 1.0,standard,1.142,2.035,285.093,A,0.174,15.199,Ordnr,Nitrogen,3.201,5280.801,A,1.182,103.496,Ordnr,Carbon
std - 1.5,standard,1.643,2.028,194.104,A,0.12,7.284,Ordnr,Nitrogen,3.247,3733.596,A,0.825,50.234,Ordnr,Carbon
std - 2.0,standard,2.224,2.029,384.385,A,0.231,10.392,Ordnr,Nitrogen,3.136,6970.714,A,1.581,71.094,Ordnr,Carbon
std - 3.0,standard,3.659,2.029,649.486,A,0.379,10.354,Ordnr,Nitrogen,3.041,11086.521,A,2.601,71.09,Ordnr,Carbon
QC,quality_control,0.515,2.009,85.806,A,0.054,10.475,Ordnr,Nitrogen,3.307,1737.046,A,0.377,73.174,Ordnr,Carbon
e_y_35_7_ts,unknown,1.895,2.024,47.053,A,0.03,1.583,Ordnr,Nitrogen,3.243,3628.805,A,0.801,42.295,Ordnr,Carbon
e_y_280_27_ts,unknown,2.642,2.036,54.288,A,0.034,1.305,Ordnr,Nitrogen,3.199,4985.691,A,1.113,42.138,Ordnr,Carbon
e_n_630_70_ts,unknown,2.499,2.037,107.495,A,0.067,2.691,Ordnr,Nitrogen,3.22,4620.234,A,1.029,41.164,Ordnr,Carbon
e_n_210_58_ts,unknown,2.243,2.043,27.37,A,0.018,0.79,Ordnr,Nitrogen,3.232,4331.962,A,0.962,42.902,Ordnr,Carbon
e_n_105_52_ts,unknown,1.953,2.047,22.724,A,0.015,0.759,Ordnr,Nitrogen,3.261,3687.844,A,0.815,41.727,Ordnr,Carbon
