id,type,sample.weight,n.retention.time,n.response,n.rb,n.weight.mg,n.weight.percent,n.peaktype,n.element.name,c.retention.time,c.response,c.rb,c.weight.mg,c.weight.percent,c.peak.type,c.element.name
e_n_70_47_ts,unknown,2.25,2.06,53.21,A,0.034,1.503,Ordnr,Nitrogen,3.245,4170.199,A,0.925,41.118,Ordnr,Carbon
e_y_70_12_ts,unknown,2.394,2.047,55.182,A,0.035,1.463,Ordnr,Nitrogen,3.223,4548.461,A,1.012,42.278,Ordnr,Carbon
e_y_140_19_ts,unknown,2.75,2.051,74.479,A,0.047,1.708,Ordnr,Nitrogen,3.2,5065.19,A,1.132,41.154,Ordnr,Carbon
e_n_70_45_ts,unknown,1.703,2.027,25.689,A,0.017,0.98,Ordnr,Nitrogen,3.265,3061.866,A,0.673,39.521,Ordnr,Carbon
e_y_0_1_ts,unknown,1.878,2.029,58.598,A,0.037,1.978,Ordnr,Nitrogen,3.247,3455.345,A,0.762,40.579,Ordnr,Carbon
e_n_0_39_ts,unknown,3.11,2.037,25.168,A,0.016,0.526,Ordnr,Nitrogen,3.169,5623.562,A,1.262,40.58,Ordnr,Carbon
QC,quality_control,1.103,2.012,185.233,A,0.114,10.367,Ordnr,Nitrogen,3.235,3589.081,A,0.792,71.846,Ordnr,Carbon
e_n_140_54_ts,unknown,3.661,2.043,43.8,A,0.028,0.764,Ordnr,Nitrogen,3.144,6594.586,A,1.491,40.736,Ordnr,Carbon
e_y_350_29_ts,unknown,2.354,2.035,34.155,A,0.022,0.933,Ordnr,Nitrogen,3.223,4479.839,A,0.996,42.324,Ordnr,Carbon
e_y_280_25_ts,unknown,3.358,2.052,66.831,A,0.042,1.258,Ordnr,Nitrogen,3.18,6156.429,A,1.387,41.318,Ordnr,Carbon
e_n_35_42_ts,unknown,1.607,2.037,22.523,A,0.015,0.915,Ordnr,Nitrogen,3.287,2975.123,A,0.653,40.664,Ordnr,Carbon
e_y_105_15_ts,unknown,3.029,2.053,70.485,A,0.045,1.469,Ordnr,Nitrogen,3.196,5502.614,A,1.234,40.731,Ordnr,Carbon
e_n_0_37_ts,unknown,2.354,2.045,32.303,A,0.021,0.884,Ordnr,Nitrogen,3.219,4380.098,A,0.973,41.349,Ordnr,Carbon
e_y_210_23_ts,unknown,2.465,2.044,38.906,A,0.025,1.011,Ordnr,Nitrogen,3.211,4531.639,A,1.008,40.903,Ordnr,Carbon
e_n_630_71_ts,unknown,3.932,2.04,154.392,A,0.096,2.436,Ordnr,Nitrogen,3.135,7070.938,A,1.605,40.822,Ordnr,Carbon
e_y_210_24_ts,unknown,4.143,2.047,66.094,A,0.042,1.009,Ordnr,Nitrogen,3.152,6481.357,A,1.464,35.347,Ordnr,Carbon
e_n_630_72_ts,unknown,4.108,2.035,135.425,A,0.084,2.052,Ordnr,Nitrogen,3.124,7444.735,A,1.695,41.262,Ordnr,Carbon
e_n_35_44_ts,unknown,1.88,2.029,22.802,A,0.015,0.791,Ordnr,Nitrogen,3.244,3471.223,A,0.766,40.728,Ordnr,Carbon
QC,quality_control,1.682,2.009,289.456,A,0.176,10.472,Ordnr,Nitrogen,3.164,5363.975,A,1.201,71.423,Ordnr,Carbon
e_n_210_57_ts,unknown,3.911,2.035,50.257,A,0.032,0.818,Ordnr,Nitrogen,3.127,7025.761,A,1.594,40.765,Ordnr,Carbon
e_n_105_50_ts,unknown,1.737,2.036,21.956,A,0.014,0.826,Ordnr,Nitrogen,3.267,3310.752,A,0.729,41.986,Ordnr,Carbon
e_n_105_49_ts,unknown,1.85,2.041,20.718,A,0.014,0.734,Ordnr,Nitrogen,3.272,3350.817,A,0.738,39.912,Ordnr,Carbon
e_n_350_67_ts,unknown,2.322,2.047,31.691,A,0.02,0.88,Ordnr,Nitrogen,3.231,4355.947,A,0.968,41.679,Ordnr,Carbon
e_y_630_35_ts,unknown,2.861,2.043,99.44,A,0.062,2.178,Ordnr,Nitrogen,3.199,5290.082,A,1.184,41.387,Ordnr,Carbon
e_y_210_21_ts,unknown,2.202,2.04,41.833,A,0.027,1.215,Ordnr,Nitrogen,3.233,4128.527,A,0.916,41.58,Ordnr,Carbon
e_y_140_17_ts,unknown,2.369,2.035,36.386,A,0.023,0.986,Ordnr,Nitrogen,3.241,3817.968,A,0.845,35.652,Ordnr,Carbon
e_y_630_36_ts,unknown,3.673,2.043,128.193,A,0.08,2.175,Ordnr,Nitrogen,3.147,6786.565,A,1.537,41.849,Ordnr,Carbon
e_n_350_65_ts,unknown,2.52,2.033,35.624,A,0.023,0.908,Ordnr,Nitrogen,3.199,4745.139,A,1.058,41.966,Ordnr,Carbon
e_n_140_55_ts,unknown,2.725,2.035,47.236,A,0.03,1.105,Ordnr,Nitrogen,3.189,4880.975,A,1.089,39.963,Ordnr,Carbon
e_n_280_63_ts,unknown,2.458,2.027,34.695,A,0.022,0.907,Ordnr,Nitrogen,3.209,4317.523,A,0.959,39.014,Ordnr,Carbon
QC,quality_control,1.707,2.007,293.768,A,0.179,10.466,Ordnr,Nitrogen,3.164,5414.955,A,1.213,71.074,Ordnr,Carbon
e_n_140_53_ts,unknown,3.054,2.033,55.925,A,0.035,1.162,Ordnr,Nitrogen,3.179,5550.69,A,1.245,40.766,Ordnr,Carbon
e_n_70_48_ts,unknown,1.312,2.033,17.724,A,0.012,0.892,Ordnr,Nitrogen,3.295,2528.984,A,0.553,42.168,Ordnr,Carbon
e_y_70_11_ts,unknown,1.753,2.035,40.407,A,0.026,1.475,Ordnr,Nitrogen,3.269,3341.261,A,0.736,41.997,Ordnr,Carbon
e_y_35_5_ts,unknown,1.951,2.037,53.825,A,0.034,1.753,Ordnr,Nitrogen,3.26,3585.198,A,0.792,40.573,Ordnr,Carbon
e_y_0_2_ts,unknown,1.69,2.04,43.959,A,0.028,1.661,Ordnr,Nitrogen,3.277,3175.189,A,0.699,41.339,Ordnr,Carbon
e_y_350_30_ts,unknown,2.964,2.045,56.571,A,0.036,1.211,Ordnr,Nitrogen,3.189,5488.127,A,1.23,41.51,Ordnr,Carbon
e_y_630_33_ts,unknown,3.678,2.033,127.689,A,0.08,2.164,Ordnr,Nitrogen,3.141,6726.318,A,1.523,41.401,Ordnr,Carbon
e_n_280_64_ts,unknown,3.348,2.043,41.426,A,0.026,0.791,Ordnr,Nitrogen,3.149,6278.602,A,1.416,42.305,Ordnr,Carbon
e_y_35_8_ts,unknown,2.106,2.024,61.192,A,0.039,1.84,Ordnr,Nitrogen,3.227,3920.819,A,0.868,41.219,Ordnr,Carbon
e_y_350_31_ts,unknown,2.419,2.029,33.23,A,0.021,0.884,Ordnr,Nitrogen,3.2,4628.285,A,1.031,42.602,Ordnr,Carbon
e_n_0_40_ts,unknown,2.037,2.023,32.356,A,0.021,1.023,Ordnr,Nitrogen,3.235,3596.804,A,0.794,38.989,Ordnr,Carbon
QC,quality_control,1.49,2.001,255.43,A,0.156,10.478,Ordnr,Nitrogen,3.18,4754.131,A,1.06,71.116,Ordnr,Carbon
e_y_630_34_ts,unknown,2.593,2.019,106.13,A,0.066,2.561,Ordnr,Nitrogen,3.201,4761.225,A,1.061,40.928,Ordnr,Carbon
e_y_35_6_ts,unknown,2.819,2.033,86.864,A,0.055,1.937,Ordnr,Nitrogen,3.192,5109.903,A,1.142,40.516,Ordnr,Carbon
e_y_140_20_ts,unknown,1.773,2.028,43.69,A,0.028,1.574,Ordnr,Nitrogen,3.267,3376.058,A,0.744,41.968,Ordnr,Carbon
e_y_140_18_ts,unknown,1.488,2.027,32.135,A,0.021,1.391,Ordnr,Nitrogen,3.284,2902.222,A,0.637,42.813,Ordnr,Carbon
e_n_35_41_ts,unknown,2.586,2.039,33.932,A,0.022,0.844,Ordnr,Nitrogen,3.22,4674.207,A,1.041,40.261,Ordnr,Carbon
e_n_0_38_ts,unknown,1.545,2.025,24.403,A,0.016,1.028,Ordnr,Nitrogen,3.279,2862.656,A,0.628,40.657,Ordnr,Carbon
e_y_70_9_tr,unknown,2.832,2.032,68.48,A,0.043,1.528,Ordnr,Nitrogen,3.191,5351.626,A,1.198,42.318,Ordnr,Carbon
e_y_70_11_tr,unknown,2.697,2.033,55.121,A,0.035,1.298,Ordnr,Nitrogen,3.195,5116.864,A,1.144,42.408,Ordnr,Carbon
e_y_70_10_tr,unknown,3.167,2.028,82.734,A,0.052,1.644,Ordnr,Nitrogen,3.159,5815.57,A,1.307,41.273,Ordnr,Carbon
e_y_70_12_tr,unknown,3.298,2.027,73.118,A,0.046,1.399,Ordnr,Nitrogen,3.151,6128.622,A,1.381,41.87,Ordnr,Carbon
e_y_105_13_tr,unknown,2.217,2.016,49.355,A,0.031,1.417,Ordnr,Nitrogen,3.209,4273.396,A,0.949,42.798,Ordnr,Carbon
QC,quality_control,1.255,1.996,212.412,A,0.131,10.407,Ordnr,Nitrogen,3.2,4027.495,A,0.892,71.112,Ordnr,Carbon
e_y_140_18_tr,unknown,1.614,2.008,35.92,A,0.023,1.429,Ordnr,Nitrogen,3.249,3068.176,A,0.674,41.788,Ordnr,Carbon
e_n_35_43_tr,unknown,1.534,2.005,29.236,A,0.019,1.232,Ordnr,Nitrogen,3.26,2662.851,A,0.583,38.021,Ordnr,Carbon
e_y_350_30_tr,unknown,3.041,2.02,74.807,A,0.047,1.551,Ordnr,Nitrogen,3.156,6041.425,A,1.36,44.732,Ordnr,Carbon
e_y_105_16_tr,unknown,1.925,2.012,45.942,A,0.029,1.522,Ordnr,Nitrogen,3.236,3683.929,A,0.814,42.288,Ordnr,Carbon
e_y_280_28_tr,unknown,2.047,2.029,39.066,A,0.025,1.222,Ordnr,Nitrogen,3.239,4018.568,A,0.89,43.499,Ordnr,Carbon
e_n_70_47_tr,unknown,2.578,2.037,50.867,A,0.032,1.255,Ordnr,Nitrogen,3.211,4930.577,A,1.1,42.688,Ordnr,Carbon
e_y_140_19_tr,unknown,2.922,2.041,74.899,A,0.047,1.616,Ordnr,Nitrogen,3.191,5604.325,A,1.258,43.037,Ordnr,Carbon
e_y_280_26_tr,unknown,2.94,2.039,67.754,A,0.043,1.456,Ordnr,Nitrogen,3.181,5903.784,A,1.328,45.166,Ordnr,Carbon
e_y_350_29_tr,unknown,2.082,2.024,46.799,A,0.03,1.433,Ordnr,Nitrogen,3.227,4216.55,A,0.936,44.946,Ordnr,Carbon
e_n_350_68_tr,unknown,2.604,2.024,49.125,A,0.031,1.201,Ordnr,Nitrogen,3.211,4785.909,A,1.067,40.975,Ordnr,Carbon
e_n_140_56_tr,unknown,1.174,2.024,19.964,A,0.013,1.116,Ordnr,Nitrogen,3.289,2255.755,A,0.492,41.922,Ordnr,Carbon
QC,quality_control,1.648,1.999,286.51,A,0.174,10.583,Ordnr,Nitrogen,3.159,5279.321,A,1.182,71.698,Ordnr,Carbon
e_n_210_57_tr,unknown,2.475,2.025,45.864,A,0.029,1.182,Ordnr,Nitrogen,3.203,4681.667,A,1.043,42.136,Ordnr,Carbon
e_y_140_17_tr,unknown,3.652,2.027,89.731,A,0.056,1.543,Ordnr,Nitrogen,3.132,6919.665,A,1.569,42.96,Ordnr,Carbon
e_n_280_62_tr,unknown,2.172,2.016,42.037,A,0.027,1.237,Ordnr,Nitrogen,3.204,4449.742,A,0.989,45.552,Ordnr,Carbon
e_n_140_53_tr,unknown,1.904,2.019,26.92,A,0.017,0.916,Ordnr,Nitrogen,3.241,3626.524,A,0.801,42.068,Ordnr,Carbon
e_y_210_24_tr,unknown,2.958,2.025,66.433,A,0.042,1.42,Ordnr,Nitrogen,3.167,5999.885,A,1.351,45.656,Ordnr,Carbon
e_n_210_58_tr,unknown,2.149,2.025,38.311,A,0.025,1.143,Ordnr,Nitrogen,3.231,4353.409,A,0.967,45.008,Ordnr,Carbon
e_y_105_14_tr,unknown,2.354,2.032,59.282,A,0.038,1.596,Ordnr,Nitrogen,3.239,4409.348,A,0.98,41.635,Ordnr,Carbon
e_y_140_20_tr,unknown,1.805,2.032,44.199,A,0.028,1.563,Ordnr,Nitrogen,3.265,3603.802,A,0.796,44.089,Ordnr,Carbon
e_n_35_41_tr,unknown,1.692,2.032,34.723,A,0.022,1.319,Ordnr,Nitrogen,3.269,3194.183,A,0.703,41.544,Ordnr,Carbon
e_n_140_55_tr,unknown,2.307,2.031,38.604,A,0.025,1.072,Ordnr,Nitrogen,3.219,4431.513,A,0.985,42.704,Ordnr,Carbon
e_y_105_15_tr,unknown,2.277,2.031,47.966,A,0.031,1.342,Ordnr,Nitrogen,3.227,4419.288,A,0.982,43.143,Ordnr,Carbon
QC,quality_control,0.708,2.001,118.291,A,0.074,10.431,Ordnr,Nitrogen,3.272,2356.832,A,0.515,72.702,Ordnr,Carbon
