id,type,sample.weight,n.retention.time,n.response,n.rb,n.weight.mg,n.weight.percent,n.peaktype,n.element.name,c.retention.time,c.response,c.rb,c.weight.mg,c.weight.percent,c.peak.type,c.element.name
bypass,bypass,0,1.952,151.23,A,0.097,16.369,Ordnr,Nitrogen,3.16,2167.249,A,0.497,83.631,Ordnr,Carbon
bypass,bypass,0,1.927,150.293,A,0.097,11.329,Ordnr,Nitrogen,3.116,3264.124,A,0.757,88.671,Ordnr,Carbon
blank,blank,0,,,,,,,,3.299,8.766,A,0.001,100,Ordnr,Carbon
blank,blank,0,,,,,,,,,,,,,,
std - 0.1,standard,0.116,1.905,16.724,A,0.011,9.555,Ordnr,Nitrogen,3.22,332.208,A,0.074,63.909,Ordnr,Carbon
std - 0.25,standard,0.218,1.911,36.385,A,0.024,10.905,Ordnr,Nitrogen,3.201,706.93,A,0.159,73.124,Ordnr,Carbon
std - 0.5,standard,0.482,1.904,74.733,A,0.048,10.05,Ordnr,Nitrogen,3.165,1507.531,A,0.344,71.27,Ordnr,Carbon
std - 1.0,standard,0.915,1.905,145.8,A,0.094,10.26,Ordnr,Nitrogen,3.112,2822.108,A,0.652,71.232,Ordnr,Carbon
std - 1.5,standard,1.545,1.905,251.269,A,0.161,10.398,Ordnr,Nitrogen,3.039,4668.756,A,1.098,71.083,Ordnr,Carbon
std - 2.0,standard,1.947,1.907,317.752,A,0.202,10.392,Ordnr,Nitrogen,3.004,5809.546,A,1.383,71.011,Ordnr,Carbon
std - 3.0,standard,3.239,1.907,532.959,A,0.335,10.352,Ordnr,Nitrogen,2.916,9313.848,A,2.303,71.105,Ordnr,Carbon
QC,quality_control,0.751,1.893,121.201,A,0.078,10.411,Ordnr,Nitrogen,3.116,2353.294,A,0.541,72.033,Ordnr,Carbon
a_n_280_135_ts,unknown,2.285,1.915,49.606,A,0.032,1.413,Ordnr,Nitrogen,3.064,3918.737,A,0.915,40.04,Ordnr,Carbon
a_n_105_124_ts,unknown,1.487,1.909,18.73,A,0.012,0.833,Ordnr,Nitrogen,3.129,2425.573,A,0.558,37.524,Ordnr,Carbon
