id,co2_treat,inoc_treat,nfert_treat,pot_number,sow_date,chamber_start,shelf_start,germ_date,thin_date,harvest_date,notes,,
E_Y_210_22,E,Y,210,22,6/17/22,2,bottom,6/22/22,7/2/22,8/6/22,,,
E_Y_210_23,E,Y,210,23,6/17/22,6,bottom,6/23/22,7/2/22,8/6/22,,,
E_Y_210_24,E,Y,210,24,6/17/22,1,bottom,6/22/22,7/2/22,8/6/22,,,
E_Y_280_25,E,Y,280,25,6/17/22,5,bottom,6/22/22,7/2/22,8/6/22,,,
E_Y_280_26,E,Y,280,26,6/17/22,1,top,6/23/22,7/2/22,8/6/22,,,
E_Y_280_27,E,Y,280,27,6/17/22,6,top,6/22/22,7/2/22,8/6/22,,,
E_Y_280_28,E,Y,280,28,6/17/22,2,bottom,6/22/22,7/2/22,8/6/22,,,
E_Y_350_29,E,Y,350,29,6/17/22,2,top,6/22/22,7/2/22,8/6/22,,,
E_Y_350_30,E,Y,350,30,6/17/22,1,top,6/22/22,7/2/22,8/6/22,,,
E_Y_350_31,E,Y,350,31,6/17/22,4,top,6/21/22,7/2/22,8/6/22,,,
E_Y_350_32,E,Y,350,32,6/17/22,4,top,6/22/22,7/2/22,8/6/22,,,
E_Y_630_33,E,Y,630,33,6/17/22,1,bottom,6/23/22,7/2/22,8/6/22,,,
E_Y_630_34,E,Y,630,34,6/17/22,2,bottom,6/23/22,7/2/22,8/6/22,,,
E_Y_630_35,E,Y,630,35,6/17/22,4,top,6/21/22,7/2/22,8/6/22,,,
E_Y_630_36,E,Y,630,36,6/17/22,1,bottom,6/22/22,7/2/22,8/6/22,,,
E_N_0_37,E,N,0,37,6/17/22,4,bottom,6/23/22,7/2/22,8/6/22,,,
E_N_0_38,E,N,0,38,6/17/22,3,top,6/23/22,7/2/22,8/6/22,,,
E_N_0_39,E,N,0,39,6/17/22,2,top,6/23/22,7/2/22,8/6/22,,,
E_N_0_40,E,N,0,40,6/17/22,2,top,6/23/22,7/2/22,8/6/22,,,
E_N_35_41,E,N,35,41,6/17/22,4,top,6/23/22,7/2/22,8/6/22,,,
E_N_35_42,E,N,35,42,6/17/22,1,top,6/23/22,7/2/22,8/6/22,,,
